normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
pdu l/s a-cl tw shirt midnight nvy l r,0,0.0,1,
pdu l/s a-cl tw shirt white s r,0,0.0,1,
pdu l/s a-cl tw shirt white xl t,0,0.0,1,
pdu l/s b-cl tw shirt 010 m r,0,0.0,1,
pdu l/s b-cl tw shirt 010 s r,0,0.0,1,
pdu l/s b-cl tw shirt 010 xl r,0,0.0,1,
pdu l/s b-cl tw shirt midnight nvy 2xl r,1,0.2,1,
pdu l/s b-cl tw shirt midnight nvy 4xl t,0,0.0,1,
pdu l/s b-cl tw shirt midnight nvy l r,0,0.0,1,
pdu l/s b-cl tw shirt midnight nvy l s,1,0.2,1,
pdu l/s b-cl tw shirt midnight nvy m r,1,0.2,1,
pdu l/s b-cl tw shirt midnight nvy s r,0,0.0,1,
pdu l/s b-cl tw shirt midnight nvy xl r,1,0.2,1,
tclt pdu l/s b-cl shirt midn nvy xl r,5,1.0,1,
tclt pdu l/s b-cl shirt midn nvy xl t,1,0.2,1,
tclt pdu l/s b-cl shirt midnight nvy l r,5,1.0,1,
tclt pdu l/s b-cl shirt midnight nvy m r,7,1.4,1,
tclt pdu l/s b-cl shirt dark navy m r,0,0.0,1,
stryke shirt dark navy 2xl,5,1.0,1,
stryke shirt dark navy l,0,0.0,1,
stryke shirt dark navy m,2,0.4,1,
stryke shirt storm m,4,0.8,1,
stryke shirt storm xl,5,1.0,1,
stryke shirt tdu green s,3,0.6,1,
stryke shirt tundra s,3,0.6,1,
stryke tdu ls shirt dark navy l,0,0.0,1,
freedom flex woven ls black 2xl,2,0.4,1,
freedom flex woven ls black l,2,0.4,1,
freedom flex woven ls black m,0,0.0,1,
freedom flex woven ls black xl,0,0.0,1,
freedom flex woven ls peacoat xl,2,0.4,1,
freedom flex woven ls black s,4,0.8,1,
fast-tac tdu shirt black 2xl,0,0.0,1,
fast-tac tdu shirt black l,0,0.0,1,
fast-tac tdu shirt black m,0,0.0,1,
fast-tac tdu shirt black xl,0,0.0,1,
fast-tac tdu shirt dark navy 2xl,0,0.0,1,
fast-tac tdu shirt dark navy l,7,1.4,1,
fast-tac tdu shirt dark navy m,5,1.0,1,
fast-tac tdu shirt dark navy s,5,1.0,1,
fast-tac tdu shirt dark navy xl,5,1.0,1,
fast-tac tdu shirt tdu green l,0,0.0,1,
fast-tac tdu shirt tdu green m,0,0.0,1,
fast-tac tdu shirt tdu green s,0,0.0,1,
fast-tac l/s shirt black 2xl,2,0.4,1,
fast-tac l/s shirt black l,2,0.4,1,
fast-tac l/s shirt black m,2,0.4,1,
fast-tac l/s shirt black s,4,0.8,1,
fast-tac l/s shirt black xl,2,0.4,1,
fast-tac l/s shirt charcoal l,2,0.4,1,
fast-tac l/s shirt charcoal m,1,0.2,1,
fast-tac l/s shirt charcoal s,3,0.6,1,
fast-tac l/s shirt charcoal xl,3,0.6,1,
fast-tac l/s shirt dark navy 2xl,27,5.4,1,
fast-tac l/s shirt dark navy l,2,0.4,1,
fast-tac l/s shirt dark navy m,8,1.6,1,
fast-tac l/s shirt dark navy s,21,4.2,1,
fast-tac l/s shirt dark navy xl,33,6.6,1,
fast-tac l/s shirt khaki 2xl,1,0.2,1,
fast-tac l/s shirt khaki m,0,0.0,1,
fast-tac l/s shirt khaki xl,2,0.4,1,
fast-tac l/s shirt uniform whte 2xl,2,0.4,1,
fast-tac l/s shirt uniform whte l,8,1.6,1,
fast-tac l/s shirt uniform whte m,5,1.0,1,
fast-tac l/s shirt uniform whte s,3,0.6,1,
fast-tac l/s shirt uniform whte xl,5,1.0,1,
fast-tac l/s shirt khaki l,0,0.0,1,
fast-tac tdu rapid l/s black xl,1,0.2,1,
fast-tac tdu rapid l/s dark navy m,2,0.4,1,
fast-tac tdu rapid l/s dark navy s,1,0.2,1,
fast-tac tdu rapid l/s dark navy xl,0,0.0,1,
fast-tac tdu rapid l/s tdu green m,0,0.0,1,
fast-tac tdu rapid l/s tdu green xl,1,0.2,1,
fast-tac tdu rapid l/s tdu khaki xl,1,0.2,1,
mission ready ls fittd tl blue 17 33s,1,0.2,1,
cl a fast-tac twill l/s midn nvy xl r,2,0.4,1,
cl a fast-tac twill l/s midnight nvy l r,6,1.2,1,
cl a fast-tac twill l/s midnight nvy m r,3,0.6,1,
cl a fast-tac twill l/s midnight nvy m s,2,0.4,1,
cl a fast-tac twill l/s unif whte 2xl r,0,0.0,1,
cl a fast-tac twill l/s uniform whte l r,1,0.2,1,
cl a fast-tac twill l/s uniform whte m r,0,0.0,1,
cl a fast-tac twill l/s unif whte xl r,0,0.0,1,
cl a fast-tac twill l/s midnight nvy s r,2,0.4,1,
cl a fast-tac twill l/s midnight nvy 2xl,1,0.2,1,
marksman l/s shirt,2,0.4,1,
marksman l/s shirt,0,0.0,1,
marksman l/s shirt blue mussel l,1,0.2,1,
marksman l/s shirt blue mussel xl,2,0.4,1,
marksman l/s shirt rifle green l,1,0.2,1,
marksman l/s shirt sage green l,0,0.0,1,
marksman l/s shirt volcanic l,0,0.0,1,
marksman l/s shirt volcanic xl,2,0.4,1,
marksman l/s shirt sand dune l,1,0.2,1,
marksman l/s shirt sand dune m,0,0.0,1,
marksman l/s shirt sand dune s,0,0.0,1,
marksman l/s shirt sand dune xl,1,0.2,1,
quantum tdu f/d l/s shirt rngr green m r,1,0.2,1,
fast-tac uniform ls shirt midn nvy l r,2,0.4,1,
job shirt 1/4 zip 2.0 black s r,0,0.0,1,
abr pro shirt ls black l r,3,0.6,1,
abr pro shirt ls black s r,0,0.0,1,
abr pro shirt ls black xl r,2,0.4,1,
abr pro shirt ls dark navy m r,0,0.0,1,
abr pro shirt ls khaki l r,1,0.2,1,
abr pro shirt ls khaki m r,2,0.4,1,
abr pro shirt ls khaki xl r,2,0.4,1,
pt-r arrive 1/4 zip flc pacific navy m,1,0.2,1,
pt-r arrive 1/4 zip flc pacific navy s,1,0.2,1,
pt-r arrive 1/4 zip flc pacific navy xl,2,0.4,1,
pt-r arrive 1/4 zip flc shadow green l,1,0.2,1,
pt-r arrive 1/4 zip flc shadow green s,1,0.2,1,
pt-r arrive 1/4 zip flc shadow green xl,1,0.2,1,
pt-r arrive 1/4 zip flc volcanic l,2,0.4,1,
pt-r arrive 1/4 zip flc volcanic xl,1,0.2,1,
flex-tac tdu rapid ls black m r,0,0.0,1,
flex-tac tdu rapid ls dark navy l r,0,0.0,1,
flex-tac tdu rapid ls storm l r,0,0.0,1,
flex-tac tdu rapid ls storm xl r,0,0.0,1,
flex-tac tdu rapid ls tdu khaki s r,0,0.0,1,
flex-tactdu rapid ls dark navy xl r,0,0.0,1,
flex-tac tdu rapid ls black l r,0,0.0,1,
the logo - with battery - clam,15,3.0,1,
taclite shorts black 32,2,0.4,1,
taclite short 11'' dark navy 36,0,0.0,1,
taclite short 11 black 38,1,0.2,1,
taclite short 11 dark navy 38,1,0.2,1,
dredger 7in short black 30,1,0.2,1,
dredger 7in short black 32,1,0.2,1,
dredger 7in short black 36,0,0.0,1,
dredger 7in short mortar htr 30,1,0.2,1,
dredger 7in short mortar htr 32,1,0.2,1,
dredger 7in short mortar htr 34,1,0.2,1,
dredger 7in short mortar htr 36,1,0.2,1,
landover 9in short blue mussel s,1,0.2,1,
landover 9in short pond l,1,0.2,1,
ripstop tdu pant black 2xl r,2,0.4,1,
ripstop tdu pant black 2xl s,1,0.2,1,
ripstop tdu pant black l r,0,0.0,1,
ripstop tdu pant black m l,4,0.8,1,
ripstop tdu pant dark navy 2xl r,2,0.4,1,
ripstop tdu pant dark navy l r,6,1.2,1,
ripstop tdu pant dark navy m r,9,1.8,1,
ripstop tdu pant dark navy s r,17,3.4,1,
ripstop tdu pant dark navy xl r,18,3.6,1,
ripstop tdu pant dark navy xs l,2,0.4,1,
ripstop tdu pant dark navy xs r,3,0.6,1,
ripstop tdu pant tdu green l r,0,0.0,1,
ripstop tdu pant tdu green m r,0,0.0,1,
ripstop tdu pant tdu green xs r,1,0.2,1,
ripstop tdu pant tdu khaki l r,2,0.4,1,
ripstop tdu pant tdu khaki m r,1,0.2,1,
ripstop tdu pant tdu khaki s r,1,0.2,1,
ripstop tdu pant tdu khaki xl r,0,0.0,1,
ripstop tdu pant dark navy m s,0,0.0,1,
ripstop tdu pant dark navy m l,0,0.0,1,
tactical pant khaki 32 32,2,0.4,1,
tactical pant khaki 36 32,3,0.6,1,
tactical pant khaki 38 32,3,0.6,1,
taclite pro pant black 30 30,1,0.2,1,
taclite pro pant black 32 30,1,0.2,1,
taclite pro pant black 32 32,3,0.6,1,
taclite pro pant black 34 32,1,0.2,1,
taclite pro pant black 36 30,4,0.8,1,
taclite pro pant black 38 30,1,0.2,1,
taclite pro pant black 38 32,1,0.2,1,
taclite pro pant black 40 30,1,0.2,1,
taclite pro pant black 42 32,1,0.2,1,
taclite pro pant charcoal 42 32,0,0.0,1,
taclite pro pant coyote 30 32,4,0.8,1,
taclite pro pant coyote 36 32,0,0.0,1,
taclite pro pant coyote 40 32,1,0.2,1,
taclite pro pant dark navy 28 34,1,0.2,1,
taclite pro pant dark navy 30 32,10,2.0,1,
taclite pro pant dark navy 32 32,24,4.8,1,
taclite pro pant dark navy 34 32,1,0.2,1,
taclite pro pant dark navy 36 30,1,0.2,1,
taclite pro pant dark navy 36 32,61,12.2,1,
taclite pro pant dark navy 38 32,4,0.8,1,
taclite pro pant dark navy 40 32,6,1.2,1,
taclite pro pant dark navy 42 30,0,0.0,1,
taclite pro pant dark navy 44 32,2,0.4,1,
taclite pro pant stone 28 32,1,0.2,1,
taclite pro pant storm 30 34,1,0.2,1,
taclite pro pant tdu green 28 32,0,0.0,1,
taclite pro pant tdu green 28 36,1,0.2,1,
taclite pro pant tdu khaki 28 30,0,0.0,1,
taclite pro pant tdu khaki 28 32,1,0.2,1,
taclite pro pant tdu khaki 30 30,0,0.0,1,
taclite pro pant tdu khaki 34 32,1,0.2,1,
taclite tdu pant black m r,2,0.4,1,
taclite tdu pant dark navy l r,10,2.0,1,
taclite tdu pant dark navy m r,24,4.8,1,
taclite tdu pant dark navy s r,3,0.6,1,
taclite tdu pant storm m r,0,0.0,1,
taclite tdu pant dark navy xl r,0,0.0,1,
5.11 covert khaki 2.0 black 34 34,1,0.2,1,
pdu cl a twill pant midnight nvy 36,0,0.0,1,
stryke pant w/flex-tac tm bat brn 30 30,1,0.2,1,
stryke pant w/flex-tac tm bat brn 30 32,1,0.2,1,
stryke pant w/flex-tac tm bat brn 32 30,4,0.8,1,
stryke pant w/flex-tac tm bat brn 32 32,5,1.0,1,
stryke pant w/flex-tac tm bat brn 38 32,2,0.4,1,
stryke pant w/flex-tac tm black 30 30,0,0.0,1,
stryke pant w/flex-tac tm black 30 32,2,0.4,1,
stryke pant w/flex-tac tm black 32 30,2,0.4,1,
stryke pant w/flex-tac tm black 32 32,3,0.6,1,
stryke pant w/flex-tac tm black 34 30,0,0.0,1,
stryke pant w/flex-tac tm black 34 32,6,1.2,1,
stryke pant w/flex-tac tm black 34 34,9,1.8,1,
stryke pant w/flex-tac tm black 36 32,5,1.0,1,
stryke pant w/flex-tac tm black 38 32,19,3.8,1,
stryke pant w/flex-tac tm charcoal 30 30,3,0.6,1,
stryke pant w/flex-tac tm charcoal 30 32,5,1.0,1,
stryke pant w/flex-tac tm charcoal 32 30,9,1.8,1,
stryke pant w/flex-tac tm charcoal 32 32,10,2.0,1,
stryke pant w/flex-tac tm charcoal 34 32,9,1.8,1,
stryke pant w/flex-tac tm charcoal 36 32,6,1.2,1,
stryke pant w/flex-tac tm charcoal 38 32,2,0.4,1,
stryke pant w/flex-tac tm charcoal 40 32,2,0.4,1,
stryke pant w/flex-tac tm coyote 32 30,2,0.4,1,
stryke pant w/flex-tac tm coyote 32 32,7,1.4,1,
stryke pant w/flex-tac tm coyote 34 30,0,0.0,1,
stryke pant w/flex-tac tm coyote 34 32,2,0.4,1,
stryke pant w/flex-tac tm coyote 38 32,3,0.6,1,
stryke pant w/flex-tac tm coyote 40 32,1,0.2,1,
stryke pant w/flex-tac tm drk nvy 30 32,0,0.0,1,
stryke pant w/flex-tac tm drk nvy 32 30,1,0.2,1,
stryke pant w/flex-tac tm drk nvy 32 32,1,0.2,1,
stryke pant w/flex-tac tm drk nvy 34 30,2,0.4,1,
stryke pant w/flex-tac tm drk nvy 34 32,1,0.2,1,
stryke pant w/flex-tac tm drk nvy 36 32,2,0.4,1,
stryke pant w/flex-tac tm drk nvy 38 32,3,0.6,1,
stryke pant w/flex-tac tm drk nvy 40 32,0,0.0,1,
stryke pant w/flex-tac tm khaki 30 30,1,0.2,1,
stryke pant w/flex-tac tm khaki 30 32,2,0.4,1,
stryke pant w/flex-tac tm khaki 32 30,7,1.4,1,
stryke pant w/flex-tac tm khaki 32 32,8,1.6,1,
stryke pant w/flex-tac tm khaki 34 30,1,0.2,1,
stryke pant w/flex-tac tm khaki 34 32,7,1.4,1,
stryke pant w/flex-tac tm khaki 36 32,1,0.2,1,
stryke pant w/flex-tac tm khaki 38 32,4,0.8,1,
stryke pant w/flex-tac tm rngr grn 30 30,1,0.2,1,
stryke pant w/flex-tac tm rngr grn 30 32,2,0.4,1,
stryke pant w/flex-tac tm rngr grn 32 30,1,0.2,1,
stryke pant w/flex-tac tm rngr grn 32 32,4,0.8,1,
stryke pant w/flex-tac tm rngr grn 34 32,1,0.2,1,
stryke pant w/flex-tac tm rngr grn 36 32,1,0.2,1,
stryke pant w/flex-tac tm rngr grn 38 32,1,0.2,1,
stryke pant w/flex-tac tm rngr grn 40 32,1,0.2,1,
stryke pant w/flex-tac tm stone 30 30,1,0.2,1,
stryke pant w/flex-tac tm stone 30 32,3,0.6,1,
stryke pant w/flex-tac tm stone 32 30,5,1.0,1,
stryke pant w/flex-tac tm stone 32 32,7,1.4,1,
stryke pant w/flex-tac tm stone 34 30,1,0.2,1,
stryke pant w/flex-tac tm stone 34 32,8,1.6,1,
stryke pant w/flex-tac tm stone 36 32,4,0.8,1,
stryke pant w/flex-tac tm stone 38 32,2,0.4,1,
stryke pant w/flex-tac tm stone 40 32,1,0.2,1,
stryke pant w/flex-tac tm storm 30 30,1,0.2,1,
stryke pant w/flex-tac tm storm 30 32,2,0.4,1,
stryke pant w/flex-tac tm storm 32 30,2,0.4,1,
stryke pant w/flex-tac tm storm 32 32,4,0.8,1,
stryke pant w/flex-tac tm storm 34 32,2,0.4,1,
stryke pant w/flex-tac tm storm 36 32,4,0.8,1,
stryke pant w/flex-tac tm storm 38 32,1,0.2,1,
stryke pant w/flex-tac tm tdu grn 30 30,3,0.6,1,
stryke pant w/flex-tac tm tdu grn 30 32,3,0.6,1,
stryke pant w/flex-tac tm tdu grn 32 30,3,0.6,1,
stryke pant w/flex-tac tm tdu grn 32 32,3,0.6,1,
stryke pant w/flex-tac tm tdu grn 34 32,1,0.2,1,
stryke pant w/flex-tac tm tdu grn 40 32,2,0.4,1,
stryke pant w/flex-tac tm tundra 30 30,1,0.2,1,
stryke pant w/flex-tac tm tundra 32 30,4,0.8,1,
stryke pant w/flex-tac tm tundra 32 32,1,0.2,1,
stryke pant w/flex-tac tm tundra 34 32,2,0.4,1,
stryke pant w/flex-tac tm tundra 36 32,0,0.0,1,
stryke pant w/flex-tac tm tundra 38 32,1,0.2,1,
tclt pdu a-cl pant dark navy 30,9,1.8,1,
tclt pdu a-cl pant dark navy 32,0,0.0,1,
tclt pdu a-cl pant dark navy 34,1,0.2,1,
tclt pdu a-cl pant dark navy 36,1,0.2,1,
tclt pdu a-cl pant midnight nvy 32,7,1.4,1,
tclt pdu a-cl pant midnight nvy 34,4,0.8,1,
tclt pdu a-cl pant midnight nvy 36,8,1.6,1,
tclt pdu a-cl pant midnight nvy 38,9,1.8,1,
tclt pdu a-cl pant midnight nvy 40,5,1.0,1,
tclt pdu a-cl pant midnight nvy 42,2,0.4,1,
tclt pdu a-cl pant midnight nvy 31,0,0.0,1,
company cargo pant fire navy 38 32,0,0.0,1,
motor cycle breeches midnight nvy 38 r,0,0.0,1,
stryke pdu mns pant cl a midnight nvy 30,1,0.2,1,
stryke tdu pant dark navy 42 32,1,0.2,1,
apex pant battle brown 30 30,0,0.0,1,
apex pant battle brown 30 32,2,0.4,1,
apex pant battle brown 38 32,1,0.2,1,
apex pant battle brown 40 32,1,0.2,1,
apex pant black 30 30,6,1.2,1,
apex pant black 30 32,7,1.4,1,
apex pant black 32 30,2,0.4,1,
apex pant black 32 32,2,0.4,1,
apex pant black 36 32,4,0.8,1,
apex pant black 38 32,1,0.2,1,
apex pant black 40 32,1,0.2,1,
apex pant black 40 36,2,0.4,1,
apex pant burnt 30 32,2,0.4,1,
apex pant burnt 32 30,5,1.0,1,
apex pant burnt 34 32,1,0.2,1,
apex pant burnt 38 32,2,0.4,1,
apex pant burnt 40 32,1,0.2,1,
apex pant dark navy 30 30,1,0.2,1,
apex pant dark navy 30 32,1,0.2,1,
apex pant dark navy 32 30,4,0.8,1,
apex pant dark navy 32 32,0,0.0,1,
apex pant dark navy 32 34,0,0.0,1,
apex pant dark navy 34 32,0,0.0,1,
apex pant dark navy 34 34,0,0.0,1,
apex pant dark navy 36 32,0,0.0,1,
apex pant dark navy 36 34,0,0.0,1,
apex pant dark navy 38 32,0,0.0,1,
apex pant dark navy 40 32,1,0.2,1,
apex pant dark navy 40 34,0,0.0,1,
apex pant khaki 30 30,2,0.4,1,
apex pant khaki 30 32,4,0.8,1,
apex pant khaki 32 30,0,0.0,1,
apex pant khaki 32 32,1,0.2,1,
apex pant khaki 34 32,0,0.0,1,
apex pant khaki 40 32,2,0.4,1,
apex pant ranger green 30 30,2,0.4,1,
apex pant ranger green 30 32,4,0.8,1,
apex pant ranger green 32 30,6,1.2,1,
apex pant ranger green 32 32,4,0.8,1,
apex pant ranger green 34 32,3,0.6,1,
apex pant ranger green 36 32,6,1.2,1,
apex pant ranger green 40 32,1,0.2,1,
apex pant storm 30 30,3,0.6,1,
apex pant storm 30 32,3,0.6,1,
apex pant storm 32 30,5,1.0,1,
apex pant storm 32 32,0,0.0,1,
apex pant storm 34 32,1,0.2,1,
apex pant storm 36 32,2,0.4,1,
apex pant storm 38 32,2,0.4,1,
apex pant storm 40 32,1,0.2,1,
apex pant tdu green 30 30,3,0.6,1,
apex pant tdu green 30 32,4,0.8,1,
apex pant tdu green 32 30,4,0.8,1,
apex pant tdu green 32 32,6,1.2,1,
apex pant tdu green 34 32,3,0.6,1,
apex pant tdu green 36 30,0,0.0,1,
apex pant tdu green 36 32,5,1.0,1,
apex pant tdu green 38 32,9,1.8,1,
apex pant tdu green 40 32,2,0.4,1,
apex pant tundra 30 30,3,0.6,1,
apex pant tundra 30 32,4,0.8,1,
apex pant tundra 32 30,3,0.6,1,
apex pant tundra 32 32,2,0.4,1,
apex pant tundra 33 34,1,0.2,1,
apex pant tundra 34 32,5,1.0,1,
apex pant tundra 36 32,5,1.0,1,
apex pant tundra 38 32,3,0.6,1,
apex pant tundra 40 32,2,0.4,1,
apex pant volcanic 30 30,1,0.2,1,
apex pant volcanic 30 32,3,0.6,1,
apex pant volcanic 32 30,1,0.2,1,
apex pant volcanic 32 32,1,0.2,1,
apex pant volcanic 36 32,2,0.4,1,
apex pant volcanic 38 32,2,0.4,1,
apex pant volcanic 40 32,0,0.0,1,
apex pant volcanic 40 36,2,0.4,1,
apex pant battle brown 28 30,1,0.2,1,
fast-tac cargo pant battle brown 28 32,1,0.2,1,
fast-tac cargo pant battle brown 30 30,0,0.0,1,
fast-tac cargo pant battle brown 30 32,3,0.6,1,
fast-tac cargo pant battle brown 32 30,2,0.4,1,
fast-tac cargo pant battle brown 32 32,1,0.2,1,
fast-tac cargo pant battle brown 34 32,5,1.0,1,
fast-tac cargo pant battle brown 36 32,5,1.0,1,
fast-tac cargo pant battle brown 38 32,0,0.0,1,
fast-tac cargo pant black 30 30,1,0.2,1,
fast-tac cargo pant black 32 32,18,3.6,1,
fast-tac cargo pant black 34 30,1,0.2,1,
fast-tac cargo pant black 34 32,2,0.4,1,
fast-tac cargo pant black 36 32,3,0.6,1,
fast-tac cargo pant black 36 34,1,0.2,1,
fast-tac cargo pant black 38 32,2,0.4,1,
fast-tac cargo pant charcoal 30 32,1,0.2,1,
fast-tac cargo pant charcoal 32 32,0,0.0,1,
fast-tac cargo pant charcoal 34 30,0,0.0,1,
fast-tac cargo pant charcoal 34 32,0,0.0,1,
fast-tac cargo pant dark navy 28 32,1,0.2,1,
fast-tac cargo pant dark navy 30 30,2,0.4,1,
fast-tac cargo pant dark navy 30 32,10,2.0,1,
fast-tac cargo pant dark navy 32 30,2,0.4,1,
fast-tac cargo pant dark navy 32 32,19,3.8,1,
fast-tac cargo pant dark navy 34 30,0,0.0,1,
fast-tac cargo pant dark navy 34 32,17,3.4,1,
fast-tac cargo pant dark navy 36 32,8,1.6,1,
fast-tac cargo pant dark navy 38 32,0,0.0,1,
fast-tac cargo pant dark navy 40 32,6,1.2,1,
fast-tac cargo pant khaki 30 30,281,56.2,0,
fast-tac cargo pant khaki 30 32,2,0.4,1,
fast-tac cargo pant khaki 32 30,4,0.8,1,
fast-tac cargo pant khaki 32 32,1,0.2,1,
fast-tac cargo pant khaki 34 32,1,0.2,1,
fast-tac cargo pant khaki 36 32,1,0.2,1,
fast-tac cargo pant khaki 38 30,53,10.6,1,
fast-tac cargo pant khaki 38 32,1,0.2,1,
fast-tac urban pant black 30 32,0,0.0,1,
fast-tac urban pant black 36 32,0,0.0,1,
fast-tac urban pant charcoal 30 32,1,0.2,1,
fast-tac urban pant charcoal 32 32,1,0.2,1,
fast-tac urban pant charcoal 34 32,0,0.0,1,
fast-tac urban pant charcoal 36 32,1,0.2,1,
fast-tac urban pant charcoal 38 32,1,0.2,1,
fast-tac urban pant charcoal 40 32,1,0.2,1,
fast-tac urban pant charcoal 42 32,1,0.2,1,
fast-tac urban pant dark navy 28 32,0,0.0,1,
fast-tac urban pant dark navy 28 34,1,0.2,1,
fast-tac urban pant dark navy 30 30,0,0.0,1,
fast-tac urban pant dark navy 30 34,0,0.0,1,
fast-tac urban pant dark navy 32 30,0,0.0,1,
fast-tac urban pant dark navy 32 32,14,2.8,1,
fast-tac urban pant dark navy 32 34,0,0.0,1,
fast-tac urban pant dark navy 34 32,1,0.2,1,
fast-tac urban pant dark navy 34 34,0,0.0,1,
fast-tac urban pant dark navy 36 32,0,0.0,1,
fast-tac urban pant dark navy 36 34,0,0.0,1,
fast-tac urban pant dark navy 38 32,0,0.0,1,
fast-tac urban pant dark navy 38 36,0,0.0,1,
fast-tac urban pant dark navy 40 32,0,0.0,1,
fast-tac urban pant dark navy 40 36,0,0.0,1,
fast-tac urban pant dark navy 42 32,0,0.0,1,
fast-tac urban pant dark navy 42 34,0,0.0,1,
fast-tac urban pant dark navy 44 32,0,0.0,1,
fast-tac urban pant dark navy 44 34,0,0.0,1,
fast-tac urban pant khaki 28 34,0,0.0,1,
fast-tac urban pant khaki 28 36,0,0.0,1,
fast-tac urban pant khaki 30 32,0,0.0,1,
fast-tac tdu pant black 30 34,2,0.4,1,
fast-tac tdu pant black 32 32,16,3.2,1,
fast-tac tdu pant black 34 32,0,0.0,1,
fast-tac tdu pant black 40 36,0,0.0,1,
fast-tac tdu pant black 42 32,0,0.0,1,
fast-tac tdu pant dark navy 28 30,8,1.6,1,
fast-tac tdu pant dark navy 28 32,6,1.2,1,
fast-tac tdu pant dark navy 30 30,1,0.2,1,
fast-tac tdu pant dark navy 30 32,2,0.4,1,
fast-tac tdu pant dark navy 30 34,1,0.2,1,
fast-tac tdu pant dark navy 32 30,5,1.0,1,
fast-tac tdu pant dark navy 32 32,40,8.0,1,
fast-tac tdu pant dark navy 32 34,0,0.0,1,
fast-tac tdu pant dark navy 34 32,10,2.0,1,
fast-tac tdu pant dark navy 34 34,2,0.4,1,
fast-tac tdu pant dark navy 34 36,0,0.0,1,
fast-tac tdu pant dark navy 36 30,1,0.2,1,
fast-tac tdu pant dark navy 36 32,5,1.0,1,
fast-tac tdu pant dark navy 38 32,3,0.6,1,
fast-tac tdu pant dark navy 40 32,3,0.6,1,
fast-tac tdu pant dark navy 42 32,2,0.4,1,
fast-tac tdu pant dark navy 44 32,6,1.2,1,
fast-tac tdu pant tdu green 32 32,1,0.2,1,
fast-tac tdu pant tdu khaki 32 32,0,0.0,1,
fast-tac tdu pant tdu khaki 34 32,0,0.0,1,
fast-tac tdu pant tdu khaki 36 32,0,0.0,1,
fast-tac tdu pant tdu khaki 42 32,0,0.0,1,
fast-tac tdu pant dark navy 42 30,0,0.0,1,
defender-flex slim jean dw indigo 30 30,1,0.2,1,
defender-flex slim jean dw indigo 30 32,2,0.4,1,
defender-flex slim jean dw indigo 32 30,3,0.6,1,
defender-flex slim jean dw indigo 32 32,5,1.0,1,
defender-flex slim jean dw indigo 34 32,2,0.4,1,
defender-flex slim jean dw indigo 36 32,0,0.0,1,
defender-flex slim jean dw indigo 38 32,1,0.2,1,
defender-flex slim jean sw charc 30 30,1,0.2,1,
defender-flex slim jean sw charc 32 30,1,0.2,1,
defender-flex slim jean sw charc 32 32,4,0.8,1,
defender-flex slim jean sw charc 34 32,2,0.4,1,
defender-flex slim jean sw charc 40 32,1,0.2,1,
defender-flex slim jean sw indigo 32 30,2,0.4,1,
defender-flex slim jean sw indigo 32 32,3,0.6,1,
defender-flex slim jean sw indigo 34 32,1,0.2,1,
defender-flex slim jean sw indigo 36 32,1,0.2,1,
defender-flex slim jean sw indigo 38 32,1,0.2,1,
defender-flex reg jean sw indigo 34 32,0,0.0,1,
defender-flex jean - strt indigo 28 32,1,0.2,1,
defender-flex reg jean sw indigo 30 32,0,0.0,1,
defender-flex reg jean sw indigo 32 32,0,0.0,1,
defender-flex reg jean sw indigo 36 32,0,0.0,1,
defender-flex reg jean sw indigo 38 32,0,0.0,1,
defender-flex reg jean sw indigo 40 32,0,0.0,1,
defender-flex reg jean sw indigo 42 32,0,0.0,1,
edge chino pant dark navy 30 36,0,0.0,1,
edge chino pant dark navy 34 36,1,0.2,1,
edge chino pant dark navy 35 32,2,0.4,1,
edge chino pant dark navy 35 36,3,0.6,1,
edge chino pant dark navy 40 34,0,0.0,1,
edge chino pant dark navy 40 36,0,0.0,1,
edge chino pant dark navy 42 32,0,0.0,1,
edge chino pant dark navy 44 32,0,0.0,1,
edge chino pant dark navy 44 34,0,0.0,1,
stryke tdu pant mcm multicam 30 30,2,0.4,1,
stryke tdu pant mcm multicam 30 34,1,0.2,1,
stryke tdu pant mcm multicam 32 32,0,0.0,1,
stryke tdu pant mcm multicam 34 32,2,0.4,1,
stryke tdu pant mcm multicam 40 32,1,0.2,1,
quantum tdu pant dark navy 36 32,0,0.0,1,
company pant 2.0 fire navy 34,0,0.0,1,
abr pro pant black 30 30,1,0.2,1,
abr pro pant black 30 32,12,2.4,1,
abr pro pant black 32 30,2,0.4,1,
abr pro pant black 32 32,16,3.2,1,
abr pro pant black 34 32,14,2.8,1,
abr pro pant black 36 32,7,1.4,1,
abr pro pant black 38 32,4,0.8,1,
abr pro pant black 40 32,1,0.2,1,
abr pro pant dark navy 30 32,0,0.0,1,
abr pro pant dark navy 32 30,7,1.4,1,
abr pro pant dark navy 32 32,3,0.6,1,
abr pro pant dark navy 34 32,0,0.0,1,
abr pro pant dark navy 36 32,0,0.0,1,
abr pro pant dark navy 38 32,0,0.0,1,
abr pro pant dark navy 38 34,0,0.0,1,
abr pro pant dark navy 40 32,0,0.0,1,
abr pro pant dark navy 40 34,0,0.0,1,
abr pro pant dark navy 42 36,0,0.0,1,
abr pro pant dark navy 44 32,0,0.0,1,
abr pro pant kangaroo 30 30,2,0.4,1,
abr pro pant kangaroo 30 32,3,0.6,1,
abr pro pant kangaroo 32 30,4,0.8,1,
