normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
5.11 a/t trainer dark coyote 9.5 r,2,0.4,1,
5.11 a/t trainer black 5 r,0,0.0,1,
5.11 a/t mid black 10 r,4,0.8,1,
5.11 a/t mid black 10.5 r,1,0.2,1,
5.11 a/t mid black 11 r,3,0.6,1,
5.11 a/t mid black 11.5 r,2,0.4,1,
5.11 a/t mid black 12 r,2,0.4,1,
5.11 a/t mid black 5 r,0,0.0,1,
5.11 a/t mid black 6 r,2,0.4,1,
5.11 a/t mid black 7 r,4,0.8,1,
5.11 a/t mid black 7.5 r,2,0.4,1,
5.11 a/t mid black 8 r,4,0.8,1,
5.11 a/t mid black 8.5 r,0,0.0,1,
5.11 a/t mid black 9 r,2,0.4,1,
5.11 a/t mid black 9.5 r,0,0.0,1,
5.11 a/t mid dark coyote 10 r,6,1.2,1,
5.11 a/t mid dark coyote 11 r,4,0.8,1,
5.11 a/t mid dark coyote 11.5 r,1,0.2,1,
5.11 a/t mid dark coyote 12 r,1,0.2,1,
5.11 a/t mid dark coyote 6 r,2,0.4,1,
5.11 a/t mid dark coyote 7 r,5,1.0,1,
5.11 a/t mid dark coyote 7.5 r,2,0.4,1,
5.11 a/t mid dark coyote 8 r,7,1.4,1,
5.11 a/t mid dark coyote 9 r,7,1.4,1,
5.11 a/t 8 sz black 10 r,2,0.4,1,
5.11 a/t 8 sz black 12 r,1,0.2,1,
5.11 a/t 8 sz black 6 r,1,0.2,1,
5.11 a/t 8 sz black 7.5 r,1,0.2,1,
5.11 a/t 8 sz black 8 r,3,0.6,1,
5.11 a/t 8 sz black 9 r,1,0.2,1,
5.11 a/t 8 sz black 9.5 r,3,0.6,1,
5.11 a/t 8 sz black 10.5 r,1,0.2,1,
5.11 a/t 6 szâ  black 10 r,1,0.2,1,
5.11 a/t 6 szâ  black 10.5 r,2,0.4,1,
5.11 a/t 6 szâ  black 11 r,1,0.2,1,
5.11 a/t 6 szâ  black 6 r,0,0.0,1,
5.11 a/t 6 szâ  black 7 r,2,0.4,1,
5.11 a/t 6 szâ  black 7.5 r,3,0.6,1,
5.11 a/t 6 szâ  black 8 r,2,0.4,1,
5.11 a/t 6 szâ  black 9 r,2,0.4,1,
5.11 a/t 6 szâ  black 9.5 r,5,1.0,1,
5.11 a/t 6 dark coyote 10 r,4,0.8,1,
5.11 a/t 6 dark coyote 10.5 r,0,0.0,1,
5.11 a/t 6 dark coyote 11 r,2,0.4,1,
5.11 a/t 6 dark coyote 6 r,2,0.4,1,
5.11 a/t 6 dark coyote 6.5 r,2,0.4,1,
5.11 a/t 6 dark coyote 7 r,3,0.6,1,
5.11 a/t 6 dark coyote 7.5 r,2,0.4,1,
5.11 a/t 6 dark coyote 8 r,7,1.4,1,
5.11 a/t 6 dark coyote 9 r,5,1.0,1,
5.11 a/t 6 dark coyote 9.5 r,1,0.2,1,
5.11 evo 2.0 8 wp sz,0,0.0,1,
"speed 4.0 8"" sz",0,0.0,1,
"speed 4.0 8"" sz",2,0.4,1,
"speed 4.0 8"" sz",0,0.0,1,
"speed 4.0 8"" sz",0,0.0,1,
"speed 4.0 8"" sz black 8.5 r",0,0.0,1,
ranger 2.0 black 9 r,0,0.0,1,
speed 4.0 8 ar670-1 dark coyote 10 r,3,0.6,1,
speed 4.0 8 ar670-1 dark coyote 8.5 r,1,0.2,1,
speed 4.0 8 ar670-1 dark coyote 9 r,6,1.2,1,
speed 4.0 8 ar670-1 dark coyote 9.5 r,3,0.6,1,
speed 4.0 8 ar670-1 us dk coyote 10.5 r,4,0.8,1,
speed 4.0 8 ar670-1 us dk coyote 11 r,1,0.2,1,
speed 4.0 8 ar670-1 us dk coyote 11.5 r,2,0.4,1,
speed 4.0 8 ar670-1 us dk coyote 12 r,1,0.2,1,
speed 4.0 8 ar670-1 us dk coyote 5 r,1,0.2,1,
speed 4.0 8 ar670-1 us dk coyote 6 r,2,0.4,1,
speed 4.0 8 ar670-1 us dk coyote 6.5 r,2,0.4,1,
speed 4.0 8 ar670-1 us dk coyote 7 r,1,0.2,1,
speed 4.0 8 ar670-1 us dk coyote 7.5 r,3,0.6,1,
"speed 4.0 8"" arid coyote 10 r",0,0.0,1,
"speed 4.0 8"" arid coyote 11 r",0,0.0,1,
"speed 4.0 8"" arid coyote 13 r",0,0.0,1,
"speed 4.0 8"" arid coyote 5 r",0,0.0,1,
"speed 4.0 8"" arid coyote 6 r",0,0.0,1,
"speed 4.0 8"" arid coyote 7 r",0,0.0,1,
"speed 4.0 8"" arid coyote 7.5 r",0,0.0,1,
"speed 4.0 8"" arid coyote 8 r",0,0.0,1,
"speed 4.0 8"" arid coyote 9 r",0,0.0,1,
"speed 4.0 8"" arid coyote 9.5 r",0,0.0,1,
speed 4.0 8 arid coyote 8.5 r,0,0.0,1,
a/t trainer 2.0 triple black 8 r,0,0.0,1,
sidewinder stalk - includes helmet clip,5,1.0,1,
chaleco brigadista cinta reflejante rojo,0,0.0,1,
camisa manga larga blanca 15 1/2 2-3,0,0.0,1,
"battery, sl-b26 usb 2",11,2.2,1,
5.11 sleeveless holster shirt white s,1,0.2,1,
training caballero 1/1 pza,1,0.2,1,
training caballero 1/1 pza,0,0.0,1,
