normalized_description,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion
wm l/s taclite shirt,851,73733.03225806452,102714.48387096774,17.129032258064516,2024-11-15
wm l/s taclite shirt tdu khaki l,4,107525.0,19048.0,24.0,2024-12-21
wm l/s taclite shirt tdu khaki m,2,107525.0,9524.0,24.0,2024-12-21
wm l/s taclite shirt tdu khaki s,3,107525.0,14286.0,24.0,2024-12-21
wm marksman s/s shirt,155,4208.5,29581.0,18.0,2024-07-05
wm ntrs ovrlandr ss tee,6,26237.0,3379.5,19.0,2024-03-04
wm pdu l/s a-cl twl shirt,64,52370.5,48849.5,13.0,2024-04-30
wm pdu s/s a-cl twl shirt,106,71907.25,143331.75,16.25,2024-04-10
wm performance polo l/s,11,67476.0,15450.25,16.0,2024-11-21
wm performance s/s polo,162,44056.57142857143,68731.57142857143,16.571428571428573,2024-10-28
wm professional s/s polo,178,68793.76190476191,31108.428571428572,17.476190476190474,2024-11-15
wm ripstop tdu pant,171,78452.80952380953,30833.47619047619,15.285714285714286,2024-12-30
wm stryke pant,28,104152.0,2220.0,20.0,2024-02-19
wm stryke pant khaki 10 r,2,140806.0,24944.0,24.0,2024-12-21
wm stryke pant khaki 12 r,1,140806.0,12472.0,24.0,2024-12-21
wm stryke pant khaki 14 r,1,140806.0,12472.0,24.0,2024-12-21
wm stryke pant khaki 16 r,1,140806.0,12472.0,24.0,2024-12-21
wm stryke pant khaki 2 r,1,140806.0,12472.0,24.0,2024-12-21
wm stryke pant khaki 4 r,2,140806.0,12472.0,24.0,2024-12-21
wm stryke pant khaki 6 r,3,140806.0,18708.0,24.0,2024-12-21
wm stryke pant khaki 8 r,4,140806.0,49888.0,24.0,2024-12-21
wm stryke pant tdu green 16 r,1,140806.0,12472.0,24.0,2024-12-21
wm stryke pant tdu green 6 r,2,140806.0,24944.0,24.0,2024-12-21
wm stryke pant tdu green 8 r,1,140806.0,12472.0,24.0,2024-12-21
wm taclite pant,1240,59851.579365079364,42259.63492063492,17.817460317460316,2024-12-21
wm tclt pdu a-class pant,1819,80350.4705882353,148013.0,16.03921568627451,2024-12-30
wm tclt pdu l/s b-cl shrt,1267,77135.11764705883,173872.4411764706,16.88235294117647,2024-12-30
wm tclt pdu s/s b-cl shrt,836,88785.51612903226,105544.96774193548,16.70967741935484,2024-11-21
wm utility s/s polo,14,42625.0,9703.333333333334,15.0,2024-06-13
wmn ls taclite tdu shirt,7,75324.0,14959.5,14.0,2024-04-10
womens apex pant,30,96648.33333333333,12668.083333333334,19.083333333333332,2024-07-05
woodland camo fill hoodie,13,45154.75,11393.0,17.0,2024-07-11
wyatt print s/s shirt,28,6357.0,16616.6,14.0,2024-12-30
wyatt s/s plaid shirt,16,63035.0,3588.25,18.0,2024-11-06
