normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
performance s/s polo dark navy l dark n,22,18044.84,16445.730928,1599.1090719999993,820.22,0
performance s/s polo dark navy m,63,51673.86,47540.919762000005,4132.940237999996,820.22,0
performance s/s polo dark navy s,19,15584.18,14179.856199,1404.3238010000005,820.22,0
performance s/s polo dark navy xs,6,4921.32,4538.468682,382.851318,820.22,0
performance s/s polo l.e. green l,4,4586.2,2379.145216,2207.054784,1146.55,1
performance s/s polo l.e. green m,2,2293.1,1189.572608,1103.527392,1146.55,0
performance s/s polo l.e. green s,2,2293.1,1187.542028,1105.5579719999998,1146.55,1
performance s/s polo range red l,2,2293.1,1110.86888,1182.23112,1146.55,1
performance s/s polo silver tan l,6,6879.299999999999,3726.0171660000005,3153.2828339999996,1146.55,1
performance s/s polo silver tan m,2,2293.1,1237.504866,1055.595134,1146.55,0
performance s/s polo silver tan s,4,4586.2,2477.234312,2108.965688,1146.55,1
performance s/s polo silver tan xl,2,2293.1,1239.838094,1053.261906,1146.55,0
performance s/s polo tall dark navy 4xl,1,820.22,876.389697,-56.16969699999993,820.22,0
performance s/s polo tdu green l,4,4586.2,2592.086688,1994.113312,1146.55,1
performance s/s polo tdu green m,2,2293.1,1238.232642,1054.867358,1146.55,1
performance s/s polo white l,2,2293.1,1295.622244,997.477756,1146.55,1
performance s/s polo white s,2,2293.1,1232.568514,1060.5314859999999,1146.55,1
phantom card wallet,2,1448.28,730.839902,717.4400979999999,724.14,0
polytac 90x usb - sl-b26 battery pack &,2,2827.58,1709.824456,1117.7555439999999,1413.79,1
"polytac x usb, blk bo",4,5186.2,2792.89408,2393.30592,1296.55,1
porta baston retractil,2,739.66,407.0,332.65999999999997,369.83,1
porta guantes negro,2,448.26,242.0,206.26,224.13,1
porta pistola beretta 92f nivel ii g.tip,6,2767.2,1944.0,823.1999999999999,461.2,1
porta pistola glock 17/19/22 der n-2 a.b,2,806.88,739.2,67.67999999999995,403.44,0
porta pistola glock 17/19/22 nivel ii g.,8,4681.04,2597.514896,2083.525104,585.13,3
porta proveedor individual,8,1282.72,880.0,402.72,160.34,0
porta proveedor v2 doble negro,2,1508.62,407.0,1101.62,754.31,1
protac 2l-x usb box,260,350689.7,222572.25290999998,128117.44709000003,1278.9450000000002,2
protac hl 5-x usb negro,2,8003.44,4631.480766,3371.959234,4001.72,1
protac hl-x usb box,1435,3860429.9,1807268.5569449998,2053161.3430549998,2245.74,0
prtctrs deep space ss tee black l,4,1844.8,1022.226708,822.5732919999999,461.2,1
prtctrs deep space ss tee black m,2,922.4,511.113354,411.28664599999996,461.2,0
prtctrs deep space ss tee black s,2,922.4,511.113354,411.28664599999996,461.2,1
pt-r charge l/s 2.0,2,1982.76,1036.94721,945.81279,991.38,0
pt-r charge l/s 2.0 black htr m,4,4879.32,2679.244116,2200.075884,1219.83,1
pt-r charge l/s 2.0 black htr s,2,2439.64,1339.723032,1099.9169679999998,1219.82,0
pt-r charge l/s 2.0 black l,2,1982.74,831.03696,1151.7030399999999,991.37,0
pt-r havoc cap,4,2655.16,1475.597076,1179.5629239999998,663.79,0
pt-r havoc short black l,2,2750.0,1510.06617,1239.93383,1375.0,0
purpose crest ss tee black m,2,922.4,511.113354,411.28664599999996,461.2,0
push pack black 1sz,2,3086.2,1762.393714,1323.8062859999998,1543.1,0
quantum tdu pant dark navy 30 32,2,3344.82,2134.0,1210.8200000000002,1672.41,1
radiant rechargeable led glow stick disc,22,4381.08,2413.5068320000005,1967.5731679999994,199.14,1
range master pouch lg black 1 sz,4,2896.52,1368.034028,1528.485972,724.13,0
rapid assault shirt black l,4,6517.24,3399.3474,3117.8925999999997,1629.31,1
rapid assault shirt dark navy l,42,55370.28,42564.153324,12806.126676,1318.34,0
rapid assault shirt dark navy m,120,158200.8,121229.76456,36971.03543999999,1318.34,0
rapid assault shirt dark navy s,120,158200.8,121693.29407999999,36507.505919999996,1318.34,0
rapid assault shirt mcm multicam 2xl,1,3041.94,2370.63603,671.3039699999999,3041.94,0
rapid assault shirt mcm multicam l,15,45629.1,35411.903655,10217.196344999997,3041.94,0
rapid assault shirt mcm multicam m,1,3041.94,2370.63603,671.3039699999999,3041.94,0
rapid assault shirt mcm multicam s,1,3041.94,2370.63603,671.3039699999999,3041.94,0
rapid assault shirt mcm multicam xl,8,24335.52,18965.804136,5369.715864000002,3041.94,0
rapid assault shirt tdu khaki l,4,12167.76,9482.946812,2684.813188,3041.94,0
rapid assault shirt tdu khaki m,9,27377.46,21336.479316,6040.980683999998,3041.94,0
rapid assault shirt tdu khaki s,11,24818.94,19424.55753,5394.38247,2177.7,0
rapid l2 black 1 sz,2,2500.0,1324.680568,1175.319432,1250.0,1
response jacket dark navy s,2,3827.58,1879.967176,1947.6128239999998,1913.79,1
rhino breacher patch red 1sz,2,231.02,167.0044,64.0156,115.51,1
ridge pant black 30 30,2,3931.04,2382.283224,1548.7567760000002,1965.52,0
ridge pant black 30 32,4,8401.7,4467.403694,3934.2963060000006,2100.425,0
ridge pant black 32 32,8,16263.76,8244.594728,8019.165272,2032.97,1
ridge pant black 34 32,2,3931.02,2077.618028,1853.4019720000001,1965.51,0
ridge pant black 38 32,2,3879.3,2045.650488,1833.6495120000002,1939.65,0
ridge pant dark navy 30 32,2,3931.04,2030.022286,1901.017714,1965.52,0
ridge pant dark navy 32 32,6,11793.119999999999,6584.820318,5208.299682,1965.5199999999998,0
ridge pant dark navy 34 32,6,11793.119999999999,6484.167219999999,5308.9527800000005,1965.5199999999998,1
ridge pant dark navy 36 32,2,3931.04,2017.374624,1913.665376,1965.52,0
ridge pant kangaroo 30 32,4,7862.0599999999995,4263.725979999999,3598.3340200000002,1965.5149999999999,2
ridge pant kangaroo 32 32,8,15724.1,8142.537024,7581.562976,1965.5125,2
ridge pant kangaroo 34 32,4,7862.04,4095.95856,3766.08144,1965.51,2
ridge pant kangaroo 36 32,4,7862.04,4187.132362,3674.907638,1965.51,1
ridge pant kangaroo 38 32,2,3931.04,2017.409852,1913.630148,1965.52,1
ridge pant kangaroo 40 32,4,7862.04,4095.959984,3766.080016,1965.51,0
ridge pant khaki 30 32,2,3931.04,2382.283224,1548.7567760000002,1965.52,0
ridge pant khaki 32 32,2,3931.04,2314.326386,1616.7136139999998,1965.52,0
ridge pant khaki 34 32,4,7862.08,3934.410876,3927.669124,1965.52,0
ridge pant ranger green 30 32,8,15724.119999999999,8504.447568,7219.672431999999,1965.5149999999999,1
ridge pant ranger green 32 32,6,12332.74,6143.9378400000005,6188.802159999999,2055.4566666666665,0
ripstop tdu l/s shirt dark navy m r,309,327681.36,304221.73880100006,23459.621198999965,1157.865,2
ripstop tdu l/s shirt dark navy m t,4,4236.72,4730.571,-493.85099999999966,1059.18,1
ripstop tdu l/s shirt dark navy xs r,55,58126.530000000006,55235.447474,2891.0825260000092,1044.9166666666667,1
ripstop tdu pant dark navy m r,2,2513.1,1709.559994,803.540006,1256.55,1
ripstop tdu pant tdu khaki m r,2,2513.1,1566.176282,946.923718,1256.55,1
rush lbd mike kangaroo 1 sz,4,9827.6,4515.970512,5311.6294880000005,2456.9,0
rush lbd mike ranger green 1 sz,8,20003.46,9095.528586,10907.931414,2500.4325,0
rush moab 10 storm 1sz,2,5258.62,3067.4196,2191.2003999999997,2629.31,1
rush12 2.0 backpack black 1 sz,2,4913.78,2419.34,2494.4399999999996,2456.89,0
rush12 2.0 backpack double tap 1 sz,3,4914.8,4082.520543,832.2794570000001,1638.2666666666667,1
rush12 2.0 backpack ranger green 1 sz,8,19655.18,10940.13153,8715.04847,2456.896666666667,0
rush24 2.0 backpack,65,175385.56,125391.76674499999,49993.79325500002,2634.415,1
rush24 2.0 backpack black 1 sz,2,6189.64,3357.5,2832.1400000000003,3094.82,0
rush24 2.0 backpack black 1sz,61,164998.28999999998,117603.52638200001,47394.76361799997,2704.89,1
rush24 2.0 backpack double tap 1 sz,2,6189.64,3531.7,2657.9400000000005,3094.82,0
rush24 2.0 backpack double tap 1sz,62,167703.18,120009.82042999999,47693.35957,2704.89,1
rush24 2.0 backpack kangaroo 1 sz,36,61933.08,47773.872351,14159.207649000007,2103.88,0
rush24 2.0 backpack ranger green 1 sz,2,6189.64,3147.624114,3042.015886,3094.82,0
rush24 2.0 backpack ranger green 1sz,61,164988.53,117786.812472,47201.717527999994,2704.73,1
rush24 2.0 mc backpack multicam 1 sz,2,8086.2,4731.5,3354.7,4043.1,0
rush72 2.0 backpack double tap 1sz,2,8362.06,4076.554478,4285.5055219999995,4181.03,1
ryker dp mini black 1 sz,2,2465.5,1405.557318,1059.942682,1232.75,0
s biner stainless steel dual carabiner 2,4,158.64,87.548276,71.09172399999999,39.66,2
s biner stainless steel dual carabiner 3,2,93.1,50.942166,42.157833999999994,46.55,0
safety first july 23 potm yelow 1sz,2,500.0,215.50976,284.49024,250.0,0
scope patch black 1 sz,2,379.32,154.482046,224.837954,189.66,0
scope patch black 1sz,4,758.64,308.964092,449.675908,189.66,1
select carry pistol pouch charcoal 1 sz,2,2068.96,993.628738,1075.3312620000002,1034.48,0
select carry pistol pouch charcoal 1sz,6,6206.88,2980.886214,3225.9937860000005,1034.48,2
shadow strike blk dlx-y el af,4,10758.6,6008.965194,4749.634806,2689.65,0
shadow strike t499 dlx-y el af,2,5379.3,3060.8,2318.5,2689.65,0
sierra bravo duty blt black l,10,12778.5,13965.48,-1186.9799999999996,1277.85,0
sierra bravo duty blt black xl,5,6389.25,6982.74,-593.4899999999998,1277.85,0
sig sauer p320 full size tuckable iwb,4,4134.48,2274.316424,1860.1635759999995,1033.62,0
single pistol case black 1sz,2,1637.94,934.684256,703.255744,818.97,0
