normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
stryke shirt tdu green s,2,3706.9,1813.072648,1893.827352,1853.45,0
stryke shirt tundra l,4,7413.8,3450.157896,3963.642104,1853.45,0
stryke shirt tundra s,2,3706.9,1739.133404,1967.7665960000002,1853.45,0
stryke tdu pant mcm multicam 30 30,4,15275.88,8119.141132,7156.7388679999995,3818.97,0
stryke tdu pant mcm multicam 36 32,2,7637.94,4059.570566,3578.3694339999997,3818.97,0
super hornet patch blue 1sz,4,506.88,334.0088,172.8712,126.72,0
"suspension nxt,nn,slvr,clp,e3/12,mpt945",4,4793.08,2658.055532,2135.024468,1198.27,0
sw100 esposas de manos smith & wesson,24,21386.4,17280.0,4106.4000000000015,891.1,0
sweet beat patch blue 1 sz,2,293.1,169.3464,123.75360000000003,146.55,0
switch-black body white/ir leds dual,4,6758.64,2862.32308,3896.31692,1689.66,1
taclite pro l/s shirt battle brown m,2,3017.24,1602.448174,1414.7918259999997,1508.62,0
taclite pro l/s shirt black l,2,3017.24,1562.129096,1455.110904,1508.62,0
taclite pro l/s shirt black m,1,1.0,919.95561,-918.95561,1.0,0
taclite pro l/s shirt black s,2,3017.24,1536.666782,1480.5732179999998,1508.62,1
taclite pro l/s shirt coyote m,3,3018.24,2278.4636250000003,739.7763749999997,1006.0799999999999,0
taclite pro l/s shirt coyote s,2,3017.24,1523.105456,1494.1345439999998,1508.62,0
taclite pro l/s shirt dark navy 2xl,3,4852.37,2369.739645,2482.630355,1617.4566666666667,1
taclite pro l/s shirt dark navy 3xl,2,3534.48,1644.94972,1889.53028,1767.24,1
taclite pro l/s shirt dark navy m,4,6034.48,3379.332348,2655.1476519999997,1508.62,2
taclite pro l/s shirt dark navy s,4,6034.48,3409.1064020000003,2625.373597999999,1508.62,0
taclite pro l/s shirt storm l,2,3017.24,1711.961956,1305.2780439999997,1508.62,0
taclite pro l/s shirt storm m,2,3017.24,1532.630698,1484.6093019999998,1508.62,0
taclite pro l/s shirt storm s,2,3017.24,1539.960928,1477.2790719999998,1508.62,1
taclite pro l/s shirt tdu green xl,2,3017.24,1566.91469,1450.3253099999997,1508.62,0
taclite pro l/s shirt tdu khaki m,4,6955.16,3423.923912,3531.2360879999997,1738.79,0
taclite pro l/s shirt tundra s,2,3017.24,1711.961956,1305.2780439999997,1508.62,0
taclite pro l/s shirt white 2xl,6,10357.76,5084.352948,5273.4070520000005,1617.4566666666667,1
taclite pro l/s shirt white l,29,53218.770000000004,25360.511716,27858.258284000003,1835.13,1
taclite pro l/s shirt white m,2,2469.0,1801.699012,667.300988,1234.5,1
taclite pro l/s shirt white s,26,44908.62,23006.952808,21901.667192,1596.0477777777778,2
taclite pro l/s shirt white xl,14,25691.82,11857.854162,13833.965838,1835.13,1
taclite pro s/s shirt black l,2,2741.38,1441.165732,1300.2142680000002,1370.69,0
taclite pro s/s shirt charcoal s,2,2741.38,1441.165374,1300.2146260000002,1370.69,1
taclite pro s/s shirt dark navy s,2,2741.38,1543.717986,1197.662014,1370.69,1
taclite pro s/s shirt tdu green s,2,2741.38,1438.987138,1302.3928620000002,1370.69,1
taclite pro s/s shirt tdu khaki l,2,2741.38,1358.868756,1382.511244,1370.69,1
taclite pro s/s shirt tdu khaki m,2,2741.38,1348.752076,1392.6279240000001,1370.69,0
taclite pro s/s shirt tdu khaki s,2,2741.38,1443.223114,1298.1568860000002,1370.69,0
taclite pro s/s shirt white 2xl,2,3670.26,1434.610564,2235.649436,1835.13,1
taclite pro s/s shirt white l,8,13752.160000000002,7340.915688000001,6411.244312000001,1525.5033333333333,2
taclite tdu pant dark navy m r,2,2713.2,1621.396146,1091.8038539999998,1356.6,0
taclite uniform cap black 1sz,6,2482.7400000000002,1546.157418,936.5825820000001,413.79,1
taclite uniform cap dark navy 1sz,150,29773.5,42322.362,-12548.862000000001,198.49,0
taclite uniform cap tdu green 1 sz,2,827.58,574.630726,252.94927400000006,413.79,1
taclite uniform cap tdu khaki 1 sz,2,827.58,455.773556,371.80644400000006,413.79,1
taco gnome patch multi 1sz,2,379.3,162.691372,216.608628,189.65,1
tactec plate carrier black 1 sz,17,70633.6,49080.345165,21553.254835000003,4364.37090909091,1
tactec plate carrier dark navy 1 sz,1,3545.1,2708.308845,836.7911549999999,3545.1,0
tactec plate carrier mcm multicam 1 sz,4,12078.539999999999,8730.963396,3347.5766039999994,3019.6349999999998,0
tactec plate carrier ranger green 1 sz,3,10635.3,7374.400986000001,3260.899013999999,3545.1,0
tactec plate carrier storm 1 sz,1,3545.1,2675.852326,869.2476739999997,3545.1,0
tactl chihuahua s/s tee navy l,4,1844.84,657.057248,1187.782752,461.21,0
tbl mission s/s tee heather grey m,2,1336.2,734.282928,601.9170720000001,668.1,0
tclt pdu a-cl pant midnight navy 30,383,683655.0,343704.226427,339950.773573,1785.0,1
tclt pdu a-cl pant midnight navy 34,865,1544025.0,772067.71814,771957.28186,1785.0,1
tclt pdu a-cl pant midnight navy 38,234,417690.0,209930.24239200001,207759.75760799999,1785.0,1
tclt pdu a-cl pant midnight navy 40,66,117810.0,58925.933418,58884.066582,1785.0,1
tclt pdu a-cl pant midnight navy 42,40,71400.0,35706.23252,35693.76748,1785.0,1
tclt pdu a-cl pant midnight nvy 32,808,1442280.0,720945.55076,721334.44924,1785.0,1
tclt pdu a-cl pant midnight nvy 36,499,890715.0,445582.077445,445132.922555,1785.0,1
tclt pdu a-cl pant midnight nvy 44,18,32130.0,16180.920756,15949.079244,1785.0,1
tclt pdu a-cl pant midnight nvy 46,10,17850.0,10276.81844,7573.181560000001,1785.0,1
tclt pdu a-cl pant midnight nvy 48,6,10710.0,6343.743012000001,4366.256987999999,1785.0,0
tclt pdu l/s b-cl shirt midnight nvy 2xl,18,34524.0,17286.450606000002,17237.549393999998,1918.0,1
tclt pdu l/s b-cl shirt midnight nvy 3xl,7,13426.0,7735.985481,5690.014519,1918.0,1
tclt pdu l/s b-cl shirt midnight nvy l r,302,579236.0,290630.111928,288605.888072,1918.0,1
tclt pdu l/s b-cl shirt midnight nvy m r,764,1465352.0,734740.2309719999,730611.7690280001,1918.0,1
tclt pdu l/s b-cl shirt midnight nvy s r,293,561974.0,281409.160553,280564.839447,1918.0,1
tclt pdu l/s b-cl shirt midnight nvy xl,97,186046.0,93210.24511399999,92835.75488600001,1918.0,1
tclt pdu s/s b-cl shirt midn nvy 2xl r,10,19180.0,8902.24324,10277.75676,1918.0,1
tclt pdu s/s b-cl shirt midn nvy 3xl t,7,13426.0,7227.246131000001,6198.753868999999,1918.0,1
tclt pdu s/s b-cl shirt midn nvy xl r,20,38360.0,17781.021,20578.979,1918.0,1
tclt pdu s/s b-cl shirt midnight nvy 2xl,7,13426.0,6257.498464,7168.501536,1918.0,0
tclt pdu s/s b-cl shirt midnight nvy l r,287,550466.0,256467.04853,293998.95146999997,1918.0,1
tclt pdu s/s b-cl shirt midnight nvy m r,715,1368700.0,636968.9016,731731.0984,1822.642857142857,1
tclt pdu s/s b-cl shirt midnight nvy m s,5,9590.0,4453.866505,5136.133495,1918.0,0
tclt pdu s/s b-cl shirt midnight nvy m-s,22,42196.0,22907.163598000003,19288.836401999997,1918.0,0
tclt pdu s/s b-cl shirt midnight nvy s r,281,538958.0,250645.074748,288312.925252,1918.0,1
tclt pdu s/s b-cl shirt midnight nvy xl,72,138096.0,64364.842872,73731.15712799999,1918.0,0
tdu 1 1/2 inch belt black 2xl,4,2103.44,1099.41886,1004.0211400000001,525.86,1
tdu 1 1/2 inch belt black l,3,897.54,719.642061,177.89793899999998,299.18,1
tdu 1 1/2 inch belt black m,2,896.54,486.74246,409.79753999999997,448.27,0
tdu 1 1/2 inch belt black s,2,896.54,479.770646,416.76935399999996,448.27,1
tdu 1 1/2 inch belt black xl,2,896.54,505.528866,391.01113399999997,448.27,0
tdu 1 1/2 inch belt kangaroo l,5,1794.08,1375.6592699999999,418.42073000000005,358.816,0
tdu 1 1/2 inch belt kangaroo s,6,2688.0,1622.456826,1065.543174,448.0,0
tdu 1 1/2 inch belt kangaroo xl,4,1792.0,1081.637884,710.362116,448.0,0
tdu 1 3/4 inch belt black l,4,1793.1,1020.181436,772.918564,448.275,1
tdu 1 3/4 inch belt black m,5,1794.08,1237.06638,557.01362,358.816,0
tdu 1 3/4 inch belt black xl,4,1793.08,992.688856,800.3911439999999,448.27,1
tdu 1 3/4 inch belt kangaroo l,2,896.54,557.369276,339.17072399999995,448.27,1
tdu 1 3/4 inch belt kangaroo m,3,897.54,859.425753,38.11424699999992,299.18,1
tlr-6 without laser (glockâ® 26/27/33) wi,4,10716.939999999999,6007.146768,4709.793232,2679.2349999999997,0
tlr-7x usb,10,49310.299999999996,27125.871870000003,22184.428129999997,4931.03,2
tracker bifold 2.0,2,1224.14,722.436902,501.70309800000007,612.07,1
tracker bifold 2.0 blk multicam 1sz,2,1224.14,722.436902,501.70309800000007,612.07,0
train strong tee charcoal htr l,2,1034.48,533.325968,501.15403200000003,517.24,0
trainer 1 1/2 inch belt black l,2,2137.92,1246.131304,891.7886960000001,1068.96,0
trainer 1 1/2 inch belt black m,2,2137.92,1247.503812,890.4161880000001,1068.96,0
trainer 1 1/2 inch belt black xl,2,2137.92,1276.57311,861.34689,1068.96,1
trainer 1 1/2 inch belt coyote xl,2,2138.0,1013.900896,1124.099104,1069.0,1
triblend legacy s/s tee black htr m,2,1413.78,644.732198,769.0478019999999,706.89,0
triblend legacy s/s tee black htr xl,2,1413.78,644.732198,769.0478019999999,706.89,0
tropical lockup ss tee black s,2,1120.7,524.774828,595.9251720000001,560.35,1
tropical lockup ss tee pond l,4,2241.4,1049.549656,1191.8503440000002,560.35,0
tropos baselayer l/s top black m,2,2189.64,1018.12113,1171.5188699999999,1094.82,1
tropos baselayer l/s top black s,2,2189.64,1018.12113,1171.5188699999999,1094.82,1
tropos baselayer tight black m,2,2189.64,1057.996922,1131.6430779999998,1094.82,1
ucr thigh rig black 1 sz,2,2568.96,1144.805572,1424.154428,1284.48,0
"ultimate,fb,se,grn,e3/12,knf1175,ultima",2,3155.16,1759.954584,1395.2054159999998,1577.58,1
uniform hat - adjustable black 1 sz,8,2151.76,1223.510904,928.2490960000002,268.97,0
uniform hat - adjustable black 1sz,32,7448.299999999999,4537.077984,2911.2220159999997,232.75916666666663,6
uniform hat - adjustable dark navy 1 sz,2,537.94,283.39323,254.54677000000004,268.97,0
uniform hat - adjustable dark navy 1sz,4105,1089381.42,578952.304073,510429.115927,235.2351282051282,7
universal kydex holster,10,9172.4,4953.915779999999,4218.48422,917.24,2
usa flag ftg patch fatigue 1sz,2,336.2,120.0,216.2,168.1,0
utili-t 3pk s/s t black 2xl 1pk,13,4420.0,2663.655514,1756.344486,340.0,1
utili-t 3pk s/s t black 3xl 1pk,9,3060.0,2442.9649499999996,617.0350500000004,340.0,1
utili-t 3pk s/s t black l,8,8758.64,5337.335832,3421.3041679999997,1094.83,2
utili-t 3pk s/s t black l 1pk,244,82960.0,50663.851339999994,32296.148660000003,340.0,1
utili-t 3pk s/s t black m,2,2189.66,1245.856104,943.8038959999999,1094.83,1
utili-t 3pk s/s t black m 1pk,760,258400.0,157670.47019999998,100729.52980000002,340.0,1
utili-t 3pk s/s t black s,4,4379.32,2496.963212,1882.3567879999996,1094.83,1
utili-t 3pk s/s t black s 1pk,660,224400.0,137187.24756,87212.75244000001,340.0,1
utili-t 3pk s/s t black xl 1pk,38,12920.0,7733.206757999999,5186.793242000001,340.0,1
utili-t 3pk s/s t dark navy m,2,2189.66,1223.705862,965.9541379999998,1094.83,0
utili-t 3pk s/s t dark navy s,1,985.38,629.875903,355.504097,985.38,1
utili-t 3pk s/s t dark navy xl,1,985.38,656.005703,329.37429699999996,985.38,1
utili-t 3pk s/s t white l,2,2189.66,1183.774764,1005.8852359999998,1094.83,0
utili-t 3pk s/s t white m,2,2189.66,1222.818396,966.841604,1094.83,0
utili-t 3pk s/s t white s,2,2189.66,1222.79137,966.8686299999999,1094.83,0
utility s/s polo academy blue m,2,1903.44,929.470092,973.969908,951.72,0
v.xi xtu mc pant multicam 30 30,2,12672.42,5924.359778,6748.060222,6336.21,1
v.xi xtu mc pant multicam 32 32,2,12672.42,5924.359778,6748.060222,6336.21,0
vector cuerdaâ  12.5mm x 100 mt color neg,5,42200.299999999996,31729.537500000002,10470.762499999993,8440.06,0
vent-tac hat black l/xl,6,4034.12,2242.450974,1791.669026,672.3533333333334,0
vent-tac hat black s/m,6,4034.46,1995.978816,2038.4811839999998,672.41,1
vent-tac hat green l/xl,2,1344.82,747.483658,597.336342,672.41,1
vent-tac hat green m/l,6,4034.46,2242.462068,1791.9979319999998,672.41,1
vent-tac hat kangaroo l/xl,6,4034.46,2238.392898,1796.067102,672.41,2
vent-tac hat kangaroo m/l,8,5379.28,2989.949424,2389.330576,672.41,4
vent-tac hat turbulence l/xl,2,1344.82,747.504004,597.3159959999999,672.41,1
vent-tac hat turbulence m/l,2,1344.82,749.892972,594.927028,672.41,0
viva mãxico keychain black 1sz,8,1517.28,816.215288,701.064712,189.66,1
vulture patch brown 1sz,2,465.5,248.261,217.239,232.75,0
w stryke pdu twl ls cl a unif whte s r,1,1035.47,1180.690035,-145.22003500000005,1035.47,0
wake n w bacon patch brown 1 sz,2,327.58,189.648,137.932,163.79,0
wake n with bacon s/s tee black l,4,1475.8400000000001,1071.2248,404.6152000000001,368.96000000000004,1
watch jacket ranger green m,2,5465.5,2510.882428,2954.617572,2732.75,0
we never miss l/s tee black m,2,1551.72,714.2344,837.4856,775.86,0
"wedge, blk",2,6836.2,3756.130498,3080.069502,3418.1,0
wm abr pro pant dark navy 10 r,2,3539.66,1885.770396,1653.889604,1769.83,0
wm abr pro pant dark navy 2 r,2,3086.2,1885.770396,1200.429604,1543.1,1
wm abr pro pant dark navy 8 r,2,3086.2,1886.042146,1200.1578539999998,1543.1,1
wm abr pro pant kangaroo 8 r,2,3539.66,1886.042146,1653.6178539999999,1769.83,0
wm abr pro pant khaki 10 r,3,3087.2,2634.7325220000002,452.4674779999998,1029.0666666666666,0
wm abr pro pant khaki 6 r,2,3086.2,1886.042146,1200.1578539999998,1543.1,0
wm abr pro pant khaki 8 r,2,3539.66,1885.770396,1653.889604,1769.83,0
wm abr pro pant ranger green 10 r,1,1.0,801.11694,-800.11694,1.0,0
wm abr pro pant ranger green 8 r,2,3086.2,1602.23388,1483.9661199999998,1543.1,0
wm always ready s/s tee blue l,2,922.4,535.6124,386.7876,461.2,0
wm always ready s/s tee blue m,2,922.4,535.6124,386.7876,461.2,0
wm battle tested ss tee black l,4,1844.8,1022.226708,822.5732919999999,461.2,0
wm battle tested ss tee black m,4,1844.8,1022.293692,822.506308,461.2,0
wm battle tested ss tee black xl,2,922.4,511.046366,411.353634,461.2,0
wm camo crest ss tee black s,2,1336.2,734.282928,601.9170720000001,668.1,0
wm camo crest ss tee black xs,2,1336.2,734.282928,601.9170720000001,668.1,0
wm camo crest ss tee marshmallow xs,2,1336.2,734.282928,601.9170720000001,668.1,0
wm cascadia wndbrker vest,2,2597.56,925.136752,1672.423248,1298.78,1
wm club ruck s/s tee black m,2,922.4,535.6124,386.7876,461.2,0
wm club ruck s/s tee black s,2,922.4,535.6124,386.7876,461.2,0
wm fast-tac l/s shirt dark navy xs,8,6844.4,6291.248072,553.1519279999993,855.55,0
wm fast-tac l/s shirt uniform whte l,2,1878.26,1353.612226,524.647774,939.13,0
wm l/s taclite shirt black s,2,3017.24,1809.899164,1207.3408359999999,1508.62,1
wm l/s taclite shirt dark navy l,2,3017.24,1633.576172,1383.6638279999997,1508.62,0
wm l/s taclite shirt dark navy s,4,6034.48,3423.923912,2610.5560879999994,1508.62,0
wm marksman ls,2,2620.7,1398.777398,1221.9226019999999,1310.35,0
wm neon legacy s/s tee black l,2,922.4,535.6124,386.7876,461.2,0
wm neon legacy s/s tee black m,2,922.4,535.6124,386.7876,461.2,0
wm pdu s/s a-cl twl shirt midn nvy xs r,2,2879.3,1470.939662,1408.3603380000002,1439.65,0
wm professional s/s polo dark navy l,2,2620.68,1388.415458,1232.264542,1310.34,0
wm professional s/s polo dark navy m,39,40523.87,37219.977589999995,3303.8924100000067,1036.13,0
wm professional s/s polo dark navy s,73,75876.93000000001,67159.778372,8717.151628000007,1039.41,0
wm ripstop tdu pant dark navy 10 r,72,76218.17,71290.966336,4927.203664000006,1037.785,1
wm ripstop tdu pant dark navy 12 r,58,61432.44,57306.754362,4125.685638000003,1059.18,1
wm ripstop tdu pant dark navy 14 r,25,26479.5,24701.39635,1778.103650000001,1059.18,1
wm ripstop tdu pant dark navy 4 l,1,1059.18,1002.267924,56.91207600000007,1059.18,0
wm ripstop tdu pant dark navy 4 r,5,5295.900000000001,5010.935725,284.96427500000027,1059.18,0
wm ripstop tdu pant dark navy 8 r,47,49781.46000000001,46438.164585,3343.295415000008,1059.18,1
wm stryke pant black 10 r,2,4553.44,2063.02,2490.4199999999996,2276.72,0
wm stryke pant black 4 r,2,3879.3,2023.8036,1855.4964000000002,1939.65,0
wm tclt pdu a-class pant midnight nvy 10,148,264180.0,132114.045116,132065.954884,1785.0,1
wm tclt pdu a-class pant midnight nvy 12,150,267750.0,133949.43959999998,133800.56040000002,1785.0,1
wm tclt pdu a-class pant midnight nvy 14,67,119595.0,60107.283344,59487.716656,1785.0,1
wm tclt pdu a-class pant midnight nvy 16,93,166005.0,83528.942496,82476.057504,1785.0,1
wm tclt pdu a-class pant midnight nvy 18,38,67830.0,39289.954915999995,28540.045084000005,1785.0,1
wm tclt pdu a-class pant midnight nvy 2,107,190995.0,96084.01536399999,94910.98463600001,1785.0,1
wm tclt pdu a-class pant midnight nvy 20,8,14280.0,8532.267392,5747.732608,1785.0,1
wm tclt pdu a-class pant midnight nvy 4,170,303450.0,152827.144,150622.856,1785.0,1
wm tclt pdu a-class pant midnight nvy 6,177,315945.0,158828.238183,157116.761817,1785.0,1
wm tclt pdu a-class pant midnight nvy 8,155,276675.0,138343.568095,138331.431905,1785.0,1
wm tclt pdu l/s b-cl shrt mid navy s r,164,314552.0,157711.70208,156840.29792,1918.0,1
wm tclt pdu l/s b-cl shrt midn nvy m r,1,1.0,1183.279833,-1182.279833,1.0,0
wm tclt pdu l/s b-cl shrt midn nvy xs r,48,92064.0,45804.429552,46259.570448,1918.0,0
wm tclt pdu l/s b-cl shrt midnight navy,157,301126.0,150853.457379,150272.542621,1918.0,1
wm tclt pdu l/s b-cl shrt midnight nvy l,64,122752.0,61494.405824,61257.594176,1918.0,1
wm tclt pdu l/s b-cl shrt midnight nvy x,152,291536.0,146517.450432,145018.549568,1918.0,1
wm tclt pdu s/s b-cl shrt midnight nvy l,59,113162.0,52659.623174,60502.376826,1918.0,1
wm tclt pdu s/s b-cl shrt midnight nvy m,152,291536.0,135563.14635999998,155972.85364000002,1918.0,1
wm tclt pdu s/s b-cl shrt midnight nvy s,163,312634.0,145356.33883999998,167277.66116000002,1918.0,1
wm tclt pdu s/s b-cl shrt midnight nvy x,195,374010.0,174374.34583500001,199635.65416499999,1918.0,1
woodland camo fill hoodie black xl,2,2327.58,940.14432,1387.43568,1163.79,1
wyatt print s/s shirt blue agave knife 2,2,2318.96,1271.464608,1047.495392,1159.48,0
you can brew it patch brown 1 sz,2,301.72,159.231,142.48900000000003,150.86,0
zero quit ruck s/s tee military grn l,2,922.4,535.6124,386.7876,461.2,1
