normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion,Existencias,coverage_days,low_stock_flag,stock_rotation,demanda_diaria_estimada,cantidad_a_importar,dias_hasta_proxima_importacion
5.11 a/t 8 dark coyote 5 r,6,18251.64,13757.348478,4494.291522,3041.94,0,,,,17.783699750459917,2024-12-01,10.0,2.0,1.0,,0.06666666666666667,1.1855799833639944,212
5.11 a/t 8 dark coyote 6 r,4,12167.76,9171.490264,2996.269736,3041.94,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.044444444444444446,0.7903866555759963,212
5.11 a/t 8 dark coyote 6.5 r,37,94871.7,70197.922846,24673.777154,2564.1,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.4111111111111111,7.311076564077966,212
5.11 a/t 8 dark coyote 6.5 r,37,94871.7,70197.922846,24673.777154,2564.1,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.4111111111111111,7.311076564077966,212
5.11 a/t 8 dark coyote 7 r,16,17908.91,11618.274117,6290.635883,2828.8775,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.17777777777777778,3.161546622303985,212
5.11 a/t 8 dark coyote 7 r,16,17908.91,11618.274117,6290.635883,2828.8775,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.17777777777777778,3.161546622303985,212
5.11 a/t 8 dark coyote 7.5 r,3,10766.06,5601.844026,5164.215974,3588.6866666666665,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.03333333333333333,0.5927899916819972,212
5.11 a/t 8 dark coyote 8 r,14,28420.21,17737.43712,10682.77288,3154.51,2,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.15555555555555556,2.766353294515987,212
5.11 a/t 8 dark coyote 8.5 r,23,12637.35,10424.234685,2213.115315000001,549.45,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.25555555555555554,4.544723269561978,212
5.11 a/t 8 dark coyote 8.5 r,23,12637.35,10424.234685,2213.115315000001,549.45,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.25555555555555554,4.544723269561978,212
5.11 a/t 8 dark coyote 9 r,11,20146.64,13969.121275,6177.518725,2828.8775,1,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.12222222222222222,2.1735633028339896,212
5.11 a/t 8 dark coyote 9.5 r,6,3296.7000000000003,2719.36557,577.3344300000003,549.45,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.06666666666666667,1.1855799833639944,212
5.11 a/t 8 dark coyote 9.5 r,6,3296.7000000000003,2719.36557,577.3344300000003,549.45,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.06666666666666667,1.1855799833639944,212
5.11 a/t 8 sz black 11 r,2,7879.3,4588.157642,3291.142358,3939.65,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 8 sz black 6 r,2,7879.32,4588.05573,3291.26427,3939.66,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 8 sz black 6 r,2,7879.32,4588.05573,3291.26427,3939.66,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 8 sz black 9 r,2,7879.3,3807.779042,4071.520958,3939.65,1,,,,17.783699750459917,2024-12-01,1.0,0.2,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 8 sz black 9 r,2,7879.3,3807.779042,4071.520958,3939.65,1,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 8 sz black 9.5 r,2,7879.3,3807.779042,4071.520958,3939.65,0,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t mid black 10 r,2,7051.72,3803.540336,3248.179664,3525.86,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t mid black 8 r,2,7051.72,3715.987236,3335.7327640000003,3525.86,1,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t mid black 9 r,8,29029.300000000003,14844.883096,14184.416904000002,3628.6625,1,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.08888888888888889,1.5807733111519926,212
