normalized_description,pred_cantidad,pred_dias
abr pro pant ranger green 34 32,0.39640823,212.00006
abr pro pant ranger green 36 32,0.39640823,212.00006
abr pro pant ranger green 36 32,0.39640823,212.00006
adelita gnome patch green 1 sz,0.39640823,212.00006
adelita gnome patch green 1 sz,0.39640823,212.00006
adventure primaloft vest pecan l,0.39640823,212.00006
adventure primaloft vest pecan l,0.39640823,212.00006
adventure primaloft vest pecan m,0.39640823,212.00006
alpha acorn ss tee,0.39640823,212.00006
alta belt black xl,0.78996116,212.00006
alta belt coyote m,0.39640823,212.00006
always be thankful patch khaki 1sz,1.9701846,212.00006
always ready s/s tee heather grey l,0.78996116,212.00006
america beautiful ss tee black m,0.39640823,212.00006
american flag stix patch khaki 1sz,0.39640823,212.00006
apex pant battle brown 34 32,0.39640823,212.00006
apex pant battle brown 36 32,0.78996116,212.00006
apex pant battle brown 38 32,0.78996116,212.00006
apex pant battle brown 38 32,0.78996116,212.00006
apex pant black 30 30,0.39640823,212.00006
apex pant black 32 30,0.39640823,212.00006
apex pant black 32 32,0.39640823,212.00006
apex pant black 32 32,0.39640823,212.00006
apex pant black 34 32,0.39640823,212.00006
apex pant burnt 30 30,0.39640823,212.00006
apex pant burnt 30 32,0.39640823,212.00006
apex pant burnt 32 30,0.78996116,212.00006
apex pant burnt 32 32,0.39640823,212.00006
apex pant burnt 34 32,0.78996116,212.00006
apex pant burnt 34 32,0.78996116,212.00006
apex pant dark navy 30 30,0.39640823,212.00006
apex pant dark navy 32 30,0.39640823,212.00006
apex pant dark navy 32 32,0.78996116,212.00006
apex pant dark navy 32 32,0.78996116,212.00006
apex pant dark navy 34 32,0.78996116,212.00006
apex pant dark navy 34 32,0.78996116,212.00006
apex pant dark navy 36 32,1.3821095,212.00006
apex pant dark navy 36 32,1.3821095,212.00006
apex pant dark navy 38 32,0.39640823,212.00006
apex pant dark navy 38 32,0.39640823,212.00006
apex pant khaki 30 30,0.39640823,212.00006
apex pant khaki 32 30,0.39640823,212.00006
apex pant khaki 32 30,0.39640823,212.00006
apex pant khaki 32 32,0.39640823,212.00006
apex pant khaki 32 32,0.39640823,212.00006
apex pant khaki 34 32,0.39640823,212.00006
apex pant khaki 34 32,0.39640823,212.00006
apex pant khaki 36 32,0.39640823,212.00006
apex pant ranger green 30 32,0.39640823,212.00006
apex pant ranger green 32 32,0.39640823,212.00006
apex pant ranger green 32 32,0.39640823,212.00006
apex pant ranger green 40 32,0.39640823,212.00006
apex pant storm 32 32,0.39640823,212.00006
apex pant storm 32 32,0.39640823,212.00006
apex pant storm 36 32,0.59231013,212.00006
apex pant storm 36 32,0.59231013,212.00006
apex pant storm 40 32,0.39640823,212.00006
apex pant storm 40 32,0.39640823,212.00006
apex pant tdu green 32 30,0.39640823,212.00006
apex pant tdu green 32 32,0.39640823,212.00006
apex pant tdu green 32 32,0.39640823,212.00006
apex pant tdu green 34 32,0.39640823,212.00006
apex pant tdu green 34 32,0.39640823,212.00006
apex pant tundra 32 32,0.39640823,212.00006
apex pant tundra 34 32,0.39640823,212.00006
apex pant volcanic 32 30,0.39640823,212.00006
apex pant volcanic 32 32,0.39640823,212.00006
apex pant volcanic 32 32,0.39640823,212.00006
apex pant volcanic 34 32,1.9727893,212.00006
apex pant volcanic 36 32,0.59231013,212.00006
apex pant volcanic 36 32,0.59231013,212.00006
astro tiger patch multi 1 sz,0.39640823,212.00006
astro tiger patch multi 1 sz,0.39640823,212.00006
atac 2.0 6 sz desert dark coyote 8.5 r,0.39640823,212.00006
atac 2.0 8 black 10 r,114.78837,212.00006
atac 2.0 8 black 11 r,112.023605,212.00006
atac 2.0 8 black 12 r,67.35738,212.00006
atac 2.0 8 black 13 r,27.811981,212.00006
atac 2.0 8 black 14 r,1.9714319,212.00006
atac 2.0 8 black 15 r,1.9714319,212.00006
atac 2.0 8 black 5 r,4.958264,212.00006
atac 2.0 8 black 6 r,24.675537,212.00006
atac 2.0 8 black 7 r,38.324795,212.00006
atac 2.0 8 black 8 r,55.08843,212.00006
atac 2.0 8 black 9 r,56.216583,212.00006
atac 2.0 8 black 9 w,43.572823,212.00006
atac 2.0 8 storm black 11.5r,3.9817457,212.00006
atac 2.0 8 storm black 4 r,0.39640823,212.00006
atac 2.0 8 storm black 5 r,1.9714319,212.00006
atac 2.0 8'' black 11 r,0.39640823,212.00006
atac 2.0 8'' black 11 r,0.39640823,212.00006
base 2bk utility folder tumbld steel 1sz,0.39640823,212.00006
base 3dp tumbld steel 1 sz,0.39640823,212.00006
basic patrol bag black 1 sz,0.39640823,212.00006
basic patrol bag black 1 sz,0.39640823,212.00006
basic patrol bag black 1sz,0.20677088,212.00006
battle tested ls tee black m,0.39640823,212.00006
battle tested ls tee black s,0.39640823,212.00006
battle tested ls tee black s,0.39640823,212.00006
beer can shooting ls tee navy l,0.39640823,212.00006
beer can shooting ls tee navy m,0.39640823,212.00006
big horn jacket black m,7.122532,212.00006
big horn jacket black m,7.122532,212.00006
big horn jacket black m,7.122532,212.00006
big horn jacket black s,8.09649,212.00006
big horn jacket black s,8.09649,212.00006
big horn jacket dark navy 2xl,8.296358,212.00006
big horn jacket dark navy 2xl,8.296358,212.00006
big horn jacket dark navy 2xl,8.296358,212.00006
big horn jacket dark navy 2xl,8.296358,212.00006
big horn jacket dark navy l,30.428919,212.00006
big horn jacket dark navy l,30.426823,212.00006
big horn jacket dark navy m,33.56097,212.00006
big horn jacket dark navy m,33.56097,212.00006
big horn jacket dark navy s,55.178394,212.00006
big horn jacket dark navy s,55.178394,212.00006
big horn jacket dark navy s,55.178394,212.00006
big horn jacket dark navy xl,20.546648,212.00006
big horn jacket dark navy xl,20.54235,212.00006
big horn jacket dark navy xs,14.841567,212.00006
big horn jacket dark navy xs,14.839471,212.00006
bike cop patch black 1 sz,0.78996116,212.00006
bike patrol pant dark navy 30 30,0.59231013,212.00006
blood type patch kit a positive,0.78996116,212.00006
"bolo machete,fb,pe,blk/blk,e3/12,equ673",0.39640823,212.00006
branches usa flag cap black 1 sz,0.78996116,212.00006
branches usa flag cap black 1 sz,0.78996116,212.00006
braxton jacket black m,0.39640823,212.00006
braxton jacket grenade m,0.78996116,212.00006
braxton jacket grenade s,0.78996116,212.00006
brewed grnds to go patch green 1 sz,0.78996116,212.00006
brewing up victory l/s t black m,0.39640823,212.00006
bullet brain patch green 1 sz,0.39640823,212.00006
bullet brew patch black 1sz,1.1847556,212.00006
bullet donut pumpkn patch,0.39640823,212.00006
calacuerno tee black m,0.39640823,212.00006
calacuerno tee black m,0.39640823,212.00006
