"Id Referencia ","Descripcion producto","Marca  ","Línea ","Existencias ","Costo promedio "
"12387-019-10-R","FAST TAC 8'' BLACK 10 R","5.11","CALZA","8","1481.8"
"12387-019-7-R","FAST TAC 8'' BLACK 7 R","5.11","CALZA","0","1523.5"
"12388-019-7-R","FAST TAC 6'' WP BLACK 7 R","5.11","CALZA","0","2552.6"
"12391-019-10.5-R","ATAC 2.0 8'' BLACK 10.5 R","5.11","CALZA","2","1432.2"
"12391-019-11-R","ATAC 2.0 8'' BLACK 11 R","5.11","CALZA","0","1522.8"
"12391-019-12-R","ATAC 2.0 8'' BLACK 12 R","5.11","CALZA","0","1490.6"
"12391-019-7.5-R","ATAC 2.0 8'' BLACK 7.5 R","5.11","CALZA","1","1435.3"
"12391-019-8-R","ATAC 2.0 8'' BLACK 8 R","5.11","CALZA","1","1537.2"
"12391-019-8.5-R","ATAC 2.0 8'' BLACK 8.5 R","5.11","CALZA","0","1434.8"
"12391-019-9-R","ATAC 2.0 8'' BLACK 9 R","5.11","CALZA","16","1813.1"
"12391-019-9.5-R","ATAC 2.0 8'' BLACK 9.5 R","5.11","CALZA","2","1461.4"
"12392-019-8-R","ATAC 2.0 8"" STORM BLACK 8 R","5.11","CALZA","0","3525.9"
"12393-106-7-R","ATAC 2.0 8"" DESERT DARK COYOTE 7 R","5.11","CALZA","0","1522.9"
"12393-106-8-R","ATAC 2.0 8"" DESERT DARK COYOTE 8 R","5.11","CALZA","0","1522.9"
"12395-106-7-R","ATAC 2.0 6 SZ DESERT DARK COYOTE 7 R","5.11","CALZA","5","1573.5"
"12395-106-9.5-R","ATAC 2.0 6 SZ DESERT DARK COYOTE 9.5 R","5.11","CALZA","1","1580.0"
"12395-106-9-R","ATAC 2.0 6 SZ DESERT DARK COYOTE 9 R","5.11","CALZA","0","2452.2"
"12402-106-6-R","ATAC 2.0 6"" NZ DESERT DARK COYOTE 6 R","5.11","CALZA","10","1337.0"
"12402-106-7-R","ATAC 2.0 6"" NZ DESERT DARK COYOTE 7 R","5.11","CALZA","1","1337.0"
"12421-109-10-R","COMPANY 3.0 CARBON TAC CLASSIC BRWN 10 R","5.11","CALZA","1","2048.7"
"12422-019-10-R","5.11 A/T 8 BLACK 10 R","5.11","CALZA","2","2249.9"
"12422-019-11-R","5.11 A/T 8 BLACK 11 R","5.11","CALZA","2","2249.9"
"12422-019-6-R","5.11 A/T 8 BLACK 6 R","5.11","CALZA","1","2249.9"
"12422-019-7-R","5.11 A/T 8 BLACK 7 R","5.11","CALZA","4","2249.9"
"12422-019-8-R","5.11 A/T 8 BLACK 8 R","5.11","CALZA","2","2249.9"
"12422-019-9-R","5.11 A/T 8 BLACK 9 R","5.11","CALZA","4","2249.9"
"12422-106-10-R","5.11 A/T 8 DARK COYOTE 10 R","5.11","CALZA","4","2360.8"
"12422-106-10.5-R","5.11 A/T 8 DARK COYOTE 10.5 R","5.11","CALZA","0","2370.6"
"12422-106-11-R","5.11 A/T 8 DARK COYOTE 11 R","5.11","CALZA","4","2310.3"
"12422-106-4-R","5.11 A/T 8 DARK COYOTE 4 R","5.11","CALZA","5","2292.9"
"12422-106-5-R","5.11 A/T 8 DARK COYOTE 5 R","5.11","CALZA","10","2105.6"
"12422-106-6-R","5.11 A/T 8 DARK COYOTE 6 R","5.11","CALZA","4","2370.7"
"12422-106-7-R","5.11 A/T 8 DARK COYOTE 7 R","5.11","CALZA","0","2370.7"
"12422-106-7.5-R","5.11 A/T 8 DARK COYOTE 7.5 R","5.11","CALZA","1","2035.1"
"12422-106-8-R","5.11 A/T 8 DARK COYOTE 8 R","5.11","CALZA","3","2370.7"
"12422-106-9-R","5.11 A/T 8 DARK COYOTE 9 R","5.11","CALZA","3","2370.7"
"12422-106-9.5-R","5.11 A/T 8 DARK COYOTE 9.5 R","5.11","CALZA","0","2370.7"
"12422-106-11.5-R","5.11 A/T 8 DARK COYOTE 11.5 R","5.11","CALZA","0","2370.6"
"12422-106-6.5-R","5.11 A/T 8 DARK COYOTE 6.5 R","5.11","CALZA","0","2370.6"
"12422-106-8.5-R","5.11 A/T 8 DARK COYOTE 8.5 R","5.11","CALZA","0","2370.7"
"12429-019-10-R","5.11 A/T TRAINER BLACK 10 R","5.11","CALZA","1","1681.2"
"12429-019-10.5-R","5.11 A/T TRAINER BLACK 10.5 R","5.11","CALZA","1","1555.9"
"12429-019-11-R","5.11 A/T TRAINER BLACK 11 R","5.11","CALZA","0","1694.5"
"12429-019-11.5-R","5.11 A/T TRAINER BLACK 11.5 R","5.11","CALZA","0","1704.0"
"12429-019-12-R","5.11 A/T TRAINER BLACK 12 R","5.11","CALZA","1","1667.0"
"12429-019-13-R","5.11 A/T TRAINER BLACK 13 R","5.11","CALZA","0","1704.0"
"12429-019-7-R","5.11 A/T TRAINER BLACK 7 R","5.11","CALZA","1","1407.7"
"12429-019-7.5-R","5.11 A/T TRAINER BLACK 7.5 R","5.11","CALZA","0","1506.5"
"12429-019-8-R","5.11 A/T TRAINER BLACK 8 R","5.11","CALZA","2","1648.5"
"12429-019-8.5-R","5.11 A/T TRAINER BLACK 8.5 R","5.11","CALZA","0","1704.0"
"12429-019-9-R","5.11 A/T TRAINER BLACK 9 R","5.11","CALZA","0","1681.2"
"12429-019-9.5-R","5.11 A/T TRAINER BLACK 9.5 R","5.11","CALZA","1","1629.9"
"12429-106-10-R","5.11 A/T TRAINER DARK COYOTE 10 R","5.11","CALZA","0","1368.6"
"12429-106-10.5-R","5.11 A/T TRAINER DARK COYOTE 10.5 R","5.11","CALZA","1","1368.6"
"12429-106-11-R","5.11 A/T TRAINER DARK COYOTE 11 R","5.11","CALZA","0","1368.6"
"12429-106-7-R","5.11 A/T TRAINER DARK COYOTE 7 R","5.11","CALZA","1","1368.6"
"12429-106-7.5-R","5.11 A/T TRAINER DARK COYOTE 7.5 R","5.11","CALZA","2","1368.6"
"12429-106-9.5-R","5.11 A/T TRAINER DARK COYOTE 9.5 R","5.11","CALZA","2","1368.6"
"12429-019-5-R","5.11 A/T TRAINER BLACK 5 R","5.11","CALZA","0","1686.3"
"12430-019-10-R","5.11 A/T MID BLACK 10 R","5.11","CALZA","4","1901.8"
"12430-019-10.5-R","5.11 A/T MID BLACK 10.5 R","5.11","CALZA","1","1640.2"
"12430-019-11-R","5.11 A/T MID BLACK 11 R","5.11","CALZA","3","1886.1"
"12430-019-11.5-R","5.11 A/T MID BLACK 11.5 R","5.11","CALZA","2","1653.0"
"12430-019-12-R","5.11 A/T MID BLACK 12 R","5.11","CALZA","2","1845.1"
"12430-019-5-R","5.11 A/T MID BLACK 5 R","5.11","CALZA","0","2061.9"
"12430-019-6-R","5.11 A/T MID BLACK 6 R","5.11","CALZA","2","2018.5"
"12430-019-7-R","5.11 A/T MID BLACK 7 R","5.11","CALZA","4","1930.8"
"12430-019-7.5-R","5.11 A/T MID BLACK 7.5 R","5.11","CALZA","2","1895.8"
"12430-019-8-R","5.11 A/T MID BLACK 8 R","5.11","CALZA","4","1858.0"
"12430-019-8.5-R","5.11 A/T MID BLACK 8.5 R","5.11","CALZA","0","1675.8"
"12430-019-9-R","5.11 A/T MID BLACK 9 R","5.11","CALZA","2","1855.6"
"12430-019-9.5-R","5.11 A/T MID BLACK 9.5 R","5.11","CALZA","0","1640.9"
"12430-106-10-R","5.11 A/T MID DARK COYOTE 10 R","5.11","CALZA","6","2086.6"
"12430-106-11-R","5.11 A/T MID DARK COYOTE 11 R","5.11","CALZA","4","2051.4"
"12430-106-11.5-R","5.11 A/T MID DARK COYOTE 11.5 R","5.11","CALZA","1","1645.6"
"12430-106-12-R","5.11 A/T MID DARK COYOTE 12 R","5.11","CALZA","1","1642.3"
"12430-106-6-R","5.11 A/T MID DARK COYOTE 6 R","5.11","CALZA","2","2093.6"
"12430-106-7-R","5.11 A/T MID DARK COYOTE 7 R","5.11","CALZA","5","1903.2"
"12430-106-7.5-R","5.11 A/T MID DARK COYOTE 7.5 R","5.11","CALZA","2","1632.0"
"12430-106-8-R","5.11 A/T MID DARK COYOTE 8 R","5.11","CALZA","7","2001.7"
"12430-106-9-R","5.11 A/T MID DARK COYOTE 9 R","5.11","CALZA","7","2045.4"
