Id Referencia,Descripcion producto,CANTIDAD,COSTO UNITARIO PROVEEDOR USD,COSTO UNITARIO PROVEEDRO MXN,GASTOS DE IMPORTACION TOTALES MXN,GASTOS ARANCELARIOS MXN,GASTOS LOGISTICOS MXN,COSTO TOTAL EN MEX,COSTO UNITARIO EN MEX,MARCA,CATEGORIA,% ARANCEL,% LOGISTICO,Date,Actual Delivery Date
40016-019-L,UTILI-T 3PK S/S T,5,24.0,484.68,1230.08,889.02,341.06,3653.46,730.69,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
12439ABR-019-5-R,5.11 A/T 6 SZ,24,76.8,1551.61,18901.95,13661.08,5240.87,56140.55,2339.19,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
74462ABR-724-42-32,FAST-TAC TDU PANT,12,25.6,515.88,3142.24,2271.01,871.24,9332.76,777.73,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
12439-019-5-R,5.11 A/T 6 SZ,2,78.4,1583.27,1607.31,1161.66,445.65,4773.85,2386.93,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
72479-992-2XL,FAST-TAC L/S SHIRT,16,25.6,515.88,4189.66,3028.01,1161.65,12443.68,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-L,FAST-TAC L/S SHIRT,36,25.6,515.88,9426.73,6813.02,2613.71,27998.27,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-M,FAST-TAC L/S SHIRT,48,25.6,515.88,12568.98,9084.03,3484.95,37331.03,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-S,FAST-TAC L/S SHIRT,1,25.5,515.78,261.80,189.21,72.59,777.58,777.58,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-XL,FAST-TAC L/S SHIRT,42,25.6,515.88,10997.85,7948.52,3049.33,32664.65,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-30-L,MOTOR CYCLE BREECHES,2,81.6,1648.30,1673.32,1209.37,463.95,4969.92,2484.96,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-32-S,MOTOR CYCLE BREECHES,15,65.8,1329.53,10122.86,7316.13,2806.72,30065.83,2004.39,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
72002ABR-724-XS-R,RIPSTOP TDU L/S SHIRT,41,32.9,664.76,13834.53,9998.68,3835.84,41089.83,1002.19,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
12464ABR-120-6-R,SPEED 4.0 8 ARID,10,52.4,1057.40,5367.26,3879.10,1488.16,15941.25,1594.13,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
72565ABR-724-S-R,FLEX-TAC TDU RAPID LS,44,37.9,765.84,17104.19,12361.78,4742.41,50801.03,1154.57,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
45502ABR-724-32-30,BIKE PATROL PANT,3,59.3,1197.35,1823.29,1317.75,505.54,5415.34,1805.11,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64359-724-4-L,WM RIPSTOP TDU PANT,1,32.9,664.81,337.45,243.89,93.56,1002.27,1002.27,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64359-724-4-R,WM RIPSTOP TDU PANT,5,32.9,664.77,1687.16,1219.37,467.79,5011.02,1002.20,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
40016-019-3XL,UTILI-T 3PK S/S T,2,26.5,535.57,543.70,392.95,150.75,1614.83,807.41,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
59394-019-XL,COMPETITION SHTG GLV 2.0,15,17.5,353.76,1859.14,1112.34,746.81,7165.53,477.70,5.11,GUANTES,0.20,0.14,12/16/2024,12/30/2024
12392ABR-019-11.5-R,ATAC 2.0 8 STORM,20,73.9,1492.80,15154.61,10952.75,4201.86,45010.60,2250.53,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
12392ABR-019-5-R,ATAC 2.0 8 STORM,6,73.9,1492.80,4546.38,3285.83,1260.56,13503.18,2250.53,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
62366ABR-750-S-R,WM TCLT PDU L/S B-CL SHRT,1,36.8,743.17,377.23,272.63,104.59,1120.39,1120.39,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
64370ABR-750-14,WM TCLT PDU A-CLASS PANT,2,34.2,690.66,701.15,506.74,194.40,2082.47,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64370ABR-750-16,WM TCLT PDU A-CLASS PANT,2,34.2,690.66,701.15,506.74,194.40,2082.47,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64370ABR-750-2,WM TCLT PDU A-CLASS PANT,4,34.2,690.66,1402.29,1013.49,388.81,4164.94,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64370ABR-750-4,WM TCLT PDU A-CLASS PANT,8,34.2,690.66,2804.59,2026.97,777.62,8329.88,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64370ABR-750-6,WM TCLT PDU A-CLASS PANT,6,34.2,690.66,2103.44,1520.23,583.21,6247.41,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
71168ABR-750-L-R,TCLT PDU S/S B-CL SHIRT,3,34.2,690.66,1051.72,760.11,291.61,3123.71,1041.24,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71168ABR-750-M-S,TCLT PDU S/S B-CL SHIRT,22,34.2,690.66,7712.61,5574.17,2138.44,22907.18,1041.24,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72366ABR-750-L-R,TCLT PDU L/S B-CL SHIRT,3,36.8,743.17,1131.68,817.90,313.77,3361.18,1120.39,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72366ABR-750-M-R,TCLT PDU L/S B-CL SHIRT,6,36.8,743.17,2263.35,1635.80,627.55,6722.36,1120.39,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
74370ABR-750-30,TCLT PDU A-CL PANT,17,34.2,690.66,5959.75,4307.31,1652.43,17701.00,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
74370ABR-750-38,TCLT PDU A-CL PANT,6,34.2,690.66,2103.44,1520.23,583.21,6247.41,1041.24,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
40016-019-3XL,UTILI-T 3PK S/S T,1,27.2,549.30,278.82,201.51,77.31,828.12,828.12,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-30-R,MOTOR CYCLE BREECHES,2,68.4,1381.32,1402.29,1013.49,388.81,4164.94,2082.47,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-32-R,MOTOR CYCLE BREECHES,1,68.4,1381.32,701.15,506.74,194.40,2082.47,2082.47,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
62388-992-M,WM FAST-TAC L/S SHIRT,2,26.2,529.10,537.14,388.21,148.93,1595.34,797.67,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
62388-992-XL,WM FAST-TAC L/S SHIRT,6,26.2,529.10,1611.41,1164.62,446.79,4786.03,797.67,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
56514-019-L,1.5IN LOW PRO TDU BELT,5,11.4,230.22,584.29,422.29,162.00,1735.39,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-019-M,1.5IN LOW PRO TDU BELT,5,11.4,230.22,584.29,422.29,162.00,1735.39,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-019-S,1.5IN LOW PRO TDU BELT,2,11.4,230.22,233.72,168.91,64.80,694.16,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-019-XL,1.5IN LOW PRO TDU BELT,2,11.4,230.22,233.72,168.91,64.80,694.16,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-134-L,1.5IN LOW PRO TDU BELT,1,11.4,230.22,116.86,84.46,32.40,347.08,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-134-M,1.5IN LOW PRO TDU BELT,5,11.4,230.22,584.29,422.29,162.00,1735.39,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-134-S,1.5IN LOW PRO TDU BELT,2,11.4,230.22,233.72,168.91,64.80,694.16,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
56514-134-XL,1.5IN LOW PRO TDU BELT,2,11.4,230.22,233.72,168.91,64.80,694.16,347.08,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-019-L,OPERATOR 1 3/4 INCH BELT,5,24.4,492.75,1250.58,903.84,346.74,3714.35,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-019-M,OPERATOR 1 3/4 INCH BELT,5,24.4,492.75,1250.58,903.84,346.74,3714.35,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-019-S,OPERATOR 1 3/4 INCH BELT,2,24.4,492.75,500.23,361.54,138.70,1485.74,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-019-XL,OPERATOR 1 3/4 INCH BELT,2,24.4,492.75,500.23,361.54,138.70,1485.74,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-134-L,OPERATOR 1 3/4 INCH BELT,5,24.4,492.75,1250.58,903.84,346.74,3714.35,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-134-M,OPERATOR 1 3/4 INCH BELT,5,24.4,492.75,1250.58,903.84,346.74,3714.35,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-134-S,OPERATOR 1 3/4 INCH BELT,2,24.4,492.75,500.23,361.54,138.70,1485.74,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59405-134-XL,OPERATOR 1 3/4 INCH BELT,2,24.4,492.75,500.23,361.54,138.70,1485.74,742.87,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-019-L,TDU 1 3/4 INCH BELT,5,10.2,205.99,522.78,377.83,144.95,1552.72,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-019-M,TDU 1 3/4 INCH BELT,5,10.2,205.99,522.78,377.83,144.95,1552.72,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-019-S,TDU 1 3/4 INCH BELT,2,10.2,205.99,209.11,151.13,57.98,621.09,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-019-XL,TDU 1 3/4 INCH BELT,3,10.2,205.99,313.67,226.70,86.97,931.63,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-134-L,TDU 1 3/4 INCH BELT,5,10.2,205.99,522.78,377.83,144.95,1552.72,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-134-M,TDU 1 3/4 INCH BELT,5,10.2,205.99,522.78,377.83,144.95,1552.72,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
59552-134-XL,TDU 1 3/4 INCH BELT,3,10.2,205.99,313.67,226.70,86.97,931.63,310.54,5.11,CINTURONES,0.35,0.14,12/16/2024,12/30/2024
69226AFB-019-L,WM CAMO CREST SS TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
69226AFB-019-M,WM CAMO CREST SS TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
69226AFB-019-S,WM CAMO CREST SS TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
69226AFB-019-XS,WM CAMO CREST SS TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
69226AFB-1017-XS,WM CAMO CREST SS TEE,1,12.1,243.55,123.62,89.35,34.28,367.17,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
71231-1233-2XL,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1233-L,WYATT PRINT S/S SHIRT,4,20.9,421.67,856.14,618.76,237.38,2542.81,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1233-M,WYATT PRINT S/S SHIRT,4,20.9,421.67,856.14,618.76,237.38,2542.81,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1233-S,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1233-XL,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1250-2XL,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1250-L,WYATT PRINT S/S SHIRT,4,20.9,421.67,856.14,618.76,237.38,2542.81,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1250-M,WYATT PRINT S/S SHIRT,4,20.9,421.67,856.14,618.76,237.38,2542.81,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1250-S,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
71231-1250-XL,WYATT PRINT S/S SHIRT,2,20.9,421.67,428.07,309.38,118.69,1271.40,635.70,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-019-L,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-019-M,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-019-S,5.11 SCOPE S/S TEE,1,12.4,250.42,127.11,91.87,35.24,377.52,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-019-XL,5.11 SCOPE S/S TEE,2,12.4,250.42,254.22,183.73,70.49,755.05,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-186-L,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-186-M,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-186-S,5.11 SCOPE S/S TEE,1,12.4,250.42,127.11,91.87,35.24,377.52,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-186-XL,5.11 SCOPE S/S TEE,2,12.4,250.42,254.22,183.73,70.49,755.05,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-721-L,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-721-M,5.11 SCOPE S/S TEE,4,12.4,250.42,508.43,367.46,140.97,1510.10,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-721-S,5.11 SCOPE S/S TEE,1,12.4,250.42,127.11,91.87,35.24,377.52,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166ABP-721-XL,5.11 SCOPE S/S TEE,2,12.4,250.42,254.22,183.73,70.49,755.05,377.52,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-019-L,CAMO CREST S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-019-M,CAMO CREST S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-019-S,CAMO CREST S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-019-XL,CAMO CREST S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-1179-L,CAMO CREST S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-1179-M,CAMO CREST S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-1179-S,CAMO CREST S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AFB-1179-XL,CAMO CREST S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHF-016-L,TBL MISSION S/S TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHF-016-M,TBL MISSION S/S TEE,3,12.1,243.55,370.87,268.04,102.83,1101.52,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHF-016-S,TBL MISSION S/S TEE,1,12.1,243.55,123.62,89.35,34.28,367.17,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHF-016-XL,TBL MISSION S/S TEE,1,12.1,243.55,123.62,89.35,34.28,367.17,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHG-019-L,BATTLE RATIONS S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHG-019-M,BATTLE RATIONS S/S TEE,4,12.1,243.55,494.49,357.39,137.11,1468.69,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHG-019-S,BATTLE RATIONS S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
76166AHG-019-XL,BATTLE RATIONS S/S TEE,2,12.1,243.55,247.25,178.69,68.55,734.35,367.17,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82133-721-L,NO MERCY PT-R S/S TOP,4,18.4,371.58,754.45,545.27,209.18,2240.79,560.20,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82133-721-M,NO MERCY PT-R S/S TOP,4,18.4,371.58,754.45,545.27,209.18,2240.79,560.20,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82133-721-S,NO MERCY PT-R S/S TOP,2,18.4,371.58,377.23,272.63,104.59,1120.39,560.20,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82133-721-XL,NO MERCY PT-R S/S TOP,2,18.4,371.58,377.23,272.63,104.59,1120.39,560.20,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82136-135-L,PT-R CHARGE L/S 2.0,4,22.0,444.29,902.06,651.95,250.11,2679.20,669.80,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82136-135-M,PT-R CHARGE L/S 2.0,4,22.0,444.29,902.06,651.95,250.11,2679.20,669.80,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82136-135-S,PT-R CHARGE L/S 2.0,1,22.0,444.29,225.51,162.99,62.53,669.80,669.80,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82136-135-XL,PT-R CHARGE L/S 2.0,2,22.0,444.29,451.03,325.97,125.06,1339.60,669.80,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-019-L,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-019-M,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-019-S,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-019-XL,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-1143-L,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-1143-M,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-1143-S,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-1143-XL,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-721-L,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-721-M,PT-R HAVOC SHORT,4,24.8,500.83,1016.87,734.92,281.94,3020.19,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-721-S,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
82410ABR-721-XL,PT-R HAVOC SHORT,2,24.8,500.83,508.43,367.46,140.97,1510.10,755.05,5.11,SHORTS,0.35,0.14,12/16/2024,12/30/2024
89063-169-1 SZ,FLAG BEARER CAP MC,6,13.4,270.61,824.15,595.64,228.51,2447.82,407.97,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89063-251-1 SZ,FLAG BEARER CAP MC,6,13.4,270.61,824.15,595.64,228.51,2447.82,407.97,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89076-169-L/XL,5.11 BOONIE HAT MULTICAM,3,20.0,403.90,615.04,444.51,170.53,1826.73,608.91,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89076-169-S/M,5.11 BOONIE HAT MULTICAM,3,20.0,403.90,615.04,444.51,170.53,1826.73,608.91,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89076-251-L/XL,5.11 BOONIE HAT MULTICAM,3,20.0,403.90,615.04,444.51,170.53,1826.73,608.91,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89076-251-S/M,5.11 BOONIE HAT MULTICAM,3,20.0,403.90,615.04,444.51,170.53,1826.73,608.91,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89422-019-L/XL,5.11 BOONIE HAT,2,16.8,339.27,344.42,248.93,95.50,1022.97,511.48,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89422-019-S/M,5.11 BOONIE HAT,3,16.8,339.27,516.63,373.39,143.25,1534.45,511.48,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
89422ABR-162-L/XL,5.11 BOONIE HAT,3,16.8,339.27,516.63,373.39,143.25,1534.45,511.48,5.11,GORRAS,0.35,0.14,12/16/2024,12/30/2024
74462ABR-724-42-32,FAST-TAC TDU PANT,12,777.7,0.00,0.00,0.00,0.00,0.00,0.00,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
72479-992-2XL,FAST-TAC L/S SHIRT,16,777.7,0.00,0.00,0.00,0.00,0.00,0.00,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-L,FAST-TAC L/S SHIRT,36,777.7,0.00,0.00,0.00,0.00,0.00,0.00,5.11,CAMISAS,0.20,0.14,12/16/2024,12/30/2024
72479-992-M,FAST-TAC L/S SHIRT,48,777.7,0.00,0.00,0.00,0.00,0.00,0.00,5.11,CAMISAS,0.20,0.14,12/16/2024,12/30/2024
72479-992-S,FAST-TAC L/S SHIRT,1,777.6,0.00,0.00,0.00,0.00,0.00,0.00,5.11,CAMISAS,0.20,0.14,12/16/2024,12/30/2024
72479-992-XL,FAST-TAC L/S SHIRT,42,777.7,0.00,0.00,0.00,0.00,0.00,0.00,5.11,CAMISAS,0.20,0.14,12/16/2024,12/30/2024
MPDS2AMP-M,AMPHIBIAN IMMERSION SUIT FOR PRO BLCK/OR,2,1407.1,28337.23,12018.64,8501.14,3517.50,68693.10,34346.55,POSEIDON,BUCEO,0.15,0.06,12/16/2024,12/26/2024
MPDS2AMP-L,AMPHIBIAN IMMERSION SUIT FOR PRO BLCK/OR,2,1407.1,28337.23,12018.64,8501.14,3517.50,68693.10,34346.55,POSEIDON,BUCEO,0.15,0.06,12/16/2024,12/26/2024
MPDS2AMP-XL,AMPHIBIAN IMMERSION SUIT FOR PRO BLCK/OR,3,1407.1,28337.23,18027.97,12751.71,5276.25,103039.65,34346.55,POSEIDON,BUCEO,0.15,0.06,12/16/2024,12/26/2024
0131-001,FILLING HOSE 300-200BAR G5/8 EBS,2,209.4,4217.63,523.53,0.00,523.53,8958.79,4479.40,POSEIDON,BUCEO,0.00,0.06,12/16/2024,12/26/2024
0253-1640,ONE SHOE BLCK/WHT 40,2,42.9,863.13,711.14,603.99,107.14,2437.40,1218.70,POSEIDON,BUCEO,0.35,0.06,12/16/2024,12/26/2024
0253-1641,ONE SHOE BLCK/WHT 41,2,42.9,863.13,711.14,603.99,107.14,2437.40,1218.70,POSEIDON,BUCEO,0.35,0.06,12/16/2024,12/26/2024
0253-1643,ONE SHOE BLCK/WHT 43,1,42.9,863.13,355.57,302.00,53.57,1218.70,1218.70,POSEIDON,BUCEO,0.35,0.06,12/16/2024,12/26/2024
0253-1644,ONE SHOE BLCK/WHT 44,2,42.9,863.13,711.14,603.99,107.14,2437.40,1218.70,POSEIDON,BUCEO,0.35,0.06,12/16/2024,12/26/2024
64386-055-2-R,WM STRYKE PANT KHAKI 2 R,1,44.0,924.00,484.06,359.34,124.72,1408.06,1408.06,5.11,PANTALONES,0.25,0.14,11/27/2024,12/21/2024
64386-055-4-R,WM STRYKE PANT KHAKI 4 R,1,44.0,924.00,484.06,359.34,124.72,1408.06,1408.06,5.11,PANTALONES,0.25,0.14,11/27/2024,12/21/2024
64386-055-6-R,WM STRYKE PANT KHAKI 6 R,1,44.0,924.00,484.06,359.34,124.72,1408.06,1408.06,5.11,PANTALONES,0.25,0.14,11/27/2024,12/21/2024
64386-055-8-R,WM STRYKE PANT KHAKI 8 R,4,44.0,924.00,1936.24,1437.36,498.88,5632.24,1408.06,5.11,PANTALONES,0.25,0.14,11/27/2024,12/21/2024
